dataset,fold,method,noise_levels,instance_level,accuracy,kappa
kc1,Fold_1,bayesglm,0.1,0.1,1,1
kc1,Fold_1,bayesglm,0.1,0.2,1,1
kc1,Fold_1,bayesglm,0.1,0.25,1,1
kc1,Fold_1,bayesglm,0.1,0.3,1,1
kc1,Fold_1,bayesglm,0.1,0.4,1,1
kc1,Fold_1,bayesglm,0.1,0.5,1,1
kc1,Fold_1,bayesglm,0.1,0.6,1,1
kc1,Fold_1,bayesglm,0.1,0.7,1,1
kc1,Fold_1,bayesglm,0.1,0.75,1,1
kc1,Fold_1,bayesglm,0.1,0.8,1,1
kc1,Fold_1,bayesglm,0.1,0.9,1,1
kc1,Fold_1,bayesglm,0.1,1,1,1
kc1,Fold_1,bayesglm,0.2,0.1,1,1
kc1,Fold_1,bayesglm,0.2,0.2,1,1
kc1,Fold_1,bayesglm,0.2,0.25,1,1
kc1,Fold_1,bayesglm,0.2,0.3,1,1
kc1,Fold_1,bayesglm,0.2,0.4,1,1
kc1,Fold_1,bayesglm,0.2,0.5,1,1
kc1,Fold_1,bayesglm,0.2,0.6,1,1
kc1,Fold_1,bayesglm,0.2,0.7,1,1
kc1,Fold_1,bayesglm,0.2,0.75,1,1
kc1,Fold_1,bayesglm,0.2,0.8,1,1
kc1,Fold_1,bayesglm,0.2,0.9,1,1
kc1,Fold_1,bayesglm,0.2,1,1,1
kc1,Fold_1,bayesglm,0.3,0.1,1,1
kc1,Fold_1,bayesglm,0.3,0.2,1,1
kc1,Fold_1,bayesglm,0.3,0.25,1,1
kc1,Fold_1,bayesglm,0.3,0.3,1,1
kc1,Fold_1,bayesglm,0.3,0.4,1,1
kc1,Fold_1,bayesglm,0.3,0.5,1,1
kc1,Fold_1,bayesglm,0.3,0.6,1,1
kc1,Fold_1,bayesglm,0.3,0.7,1,1
kc1,Fold_1,bayesglm,0.3,0.75,1,1
kc1,Fold_1,bayesglm,0.3,0.8,1,1
kc1,Fold_1,bayesglm,0.3,0.9,1,1
kc1,Fold_1,bayesglm,0.3,1,1,1
kc1,Fold_2,bayesglm,0.1,0.1,1,1
kc1,Fold_2,bayesglm,0.1,0.2,0.997624703087886,0.975493334885616
kc1,Fold_2,bayesglm,0.1,0.25,0.997624703087886,0.975493334885616
kc1,Fold_2,bayesglm,0.1,0.3,0.997624703087886,0.975493334885616
kc1,Fold_2,bayesglm,0.1,0.4,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.5,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.6,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.7,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.75,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.8,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,0.9,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.1,1,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.2,0.1,1,1
kc1,Fold_2,bayesglm,0.2,0.2,0.997624703087886,0.975493334885616
kc1,Fold_2,bayesglm,0.2,0.25,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.2,0.3,0.995249406175772,0.949880952380952
kc1,Fold_2,bayesglm,0.2,0.4,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.5,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.6,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.7,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.75,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.8,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,0.9,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.2,1,0.992874109263658,0.926480004656848
kc1,Fold_2,bayesglm,0.3,0.1,1,1
kc1,Fold_2,bayesglm,0.3,0.2,1,1
kc1,Fold_2,bayesglm,0.3,0.25,1,1
kc1,Fold_2,bayesglm,0.3,0.3,1,1
kc1,Fold_2,bayesglm,0.3,0.4,1,1
kc1,Fold_2,bayesglm,0.3,0.5,1,1
kc1,Fold_2,bayesglm,0.3,0.6,1,1
kc1,Fold_2,bayesglm,0.3,0.7,1,1
kc1,Fold_2,bayesglm,0.3,0.75,1,1
kc1,Fold_2,bayesglm,0.3,0.8,1,1
kc1,Fold_2,bayesglm,0.3,0.9,1,1
kc1,Fold_2,bayesglm,0.3,1,1,1
kc1,Fold_3,bayesglm,0.1,0.1,1,1
