dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
iris,C5.0,0.1,0.1,1,1,0,0,0
iris,C5.0,0.1,0.2,1,1,0,0,0
iris,C5.0,0.1,0.25,1,1,0,0,0
iris,C5.0,0.1,0.3,1,1,0,0,0
iris,C5.0,0.1,0.4,1,1,0,0,0
iris,C5.0,0.1,0.5,1,1,0,0,0
iris,C5.0,0.1,0.6,1,1,0,0,0
iris,C5.0,0.1,0.7,1,1,0,0,0
iris,C5.0,0.1,0.75,1,1,0,0,0
iris,C5.0,0.1,0.8,1,1,0,0,0
iris,C5.0,0.1,0.9,1,1,0,0,0
iris,C5.0,0.1,1,1,1,0,0,0
iris,C5.0,0.2,0.1,1,1,0,0,0
iris,C5.0,0.2,0.2,1,1,0,0,0
iris,C5.0,0.2,0.25,1,1,0,0,0
iris,C5.0,0.2,0.3,1,1,0,0,0
iris,C5.0,0.2,0.4,1,1,0,0,0
iris,C5.0,0.2,0.5,1,1,0,0,0
iris,C5.0,0.2,0.6,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.2,0.7,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.2,0.75,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.2,0.8,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.2,0.9,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.2,1,0.993,0.99,0.01,0.015,0.023
iris,C5.0,0.3,0.1,1,1,0,0,0
iris,C5.0,0.3,0.2,1,1,0,0,0
iris,C5.0,0.3,0.25,1,1,0,0,0
iris,C5.0,0.3,0.3,1,1,0,0,0
iris,C5.0,0.3,0.4,1,1,0,0,0
iris,C5.0,0.3,0.5,1,1,0,0,0
iris,C5.0,0.3,0.6,0.987,0.98,0.02,0.03,0.045
iris,C5.0,0.3,0.7,0.987,0.98,0.02,0.03,0.045
iris,C5.0,0.3,0.75,0.987,0.98,0.02,0.03,0.045
iris,C5.0,0.3,0.8,0.987,0.98,0.02,0.03,0.045
iris,C5.0,0.3,0.9,0.973,0.96,0.04,0.043,0.065
iris,C5.0,0.3,1,0.973,0.96,0.04,0.043,0.065
iris,JRip,0.1,0.1,1,1,0,0,0
iris,JRip,0.1,0.2,1,1,0,0,0
iris,JRip,0.1,0.25,1,1,0,0,0
iris,JRip,0.1,0.3,1,1,0,0,0
iris,JRip,0.1,0.4,1,1,0,0,0
iris,JRip,0.1,0.5,1,1,0,0,0
iris,JRip,0.1,0.6,1,1,0,0,0
iris,JRip,0.1,0.7,1,1,0,0,0
iris,JRip,0.1,0.75,1,1,0,0,0
iris,JRip,0.1,0.8,1,1,0,0,0
iris,JRip,0.1,0.9,1,1,0,0,0
iris,JRip,0.1,1,1,1,0,0,0
