"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"iris","Fold_1","C5.0",0.8,0.5,1,1
"iris","Fold_1","C5.0",0.8,0.6,1,1
"iris","Fold_1","C5.0",0.8,0.7,1,1
"iris","Fold_1","C5.0",0.8,0.8,1,1
"iris","Fold_1","C5.0",0.8,0.9,1,1
"iris","Fold_1","C5.0",0.8,1,1,1
"iris","Fold_1","C5.0",0.9,0,1,1
"iris","Fold_1","C5.0",0.9,0.1,1,1
"iris","Fold_1","C5.0",0.9,0.2,1,1
"iris","Fold_1","C5.0",0.9,0.3,1,1
"iris","Fold_1","C5.0",0.9,0.4,1,1
"iris","Fold_1","C5.0",0.9,0.5,1,1
"iris","Fold_1","C5.0",0.9,0.6,1,1
"iris","Fold_1","C5.0",0.9,0.7,1,1
"iris","Fold_1","C5.0",0.9,0.8,1,1
"iris","Fold_1","C5.0",0.9,0.9,1,1
"iris","Fold_1","C5.0",0.9,1,1,1
"iris","Fold_1","C5.0",1,0,1,1
"iris","Fold_1","C5.0",1,0.1,1,1
"iris","Fold_1","C5.0",1,0.2,1,1
"iris","Fold_1","C5.0",1,0.3,1,1
"iris","Fold_1","C5.0",1,0.4,1,1
"iris","Fold_1","C5.0",1,0.5,1,1
"iris","Fold_1","C5.0",1,0.6,1,1
"iris","Fold_1","C5.0",1,0.7,1,1
"iris","Fold_1","C5.0",1,0.8,1,1
"iris","Fold_1","C5.0",1,0.9,1,1
"iris","Fold_1","C5.0",1,1,1,1
"iris","Fold_1","ctree",0,0,1,1
"iris","Fold_1","ctree",0,0.1,1,1
"iris","Fold_1","ctree",0,0.2,1,1
"iris","Fold_1","ctree",0,0.3,1,1
"iris","Fold_1","ctree",0,0.4,1,1
"iris","Fold_1","ctree",0,0.5,1,1
"iris","Fold_1","ctree",0,0.6,1,1
"iris","Fold_1","ctree",0,0.7,1,1
"iris","Fold_1","ctree",0,0.8,1,1
"iris","Fold_1","ctree",0,0.9,1,1
"iris","Fold_1","ctree",0,1,1,1
"iris","Fold_1","ctree",0.1,0,1,1
"iris","Fold_1","ctree",0.1,0.1,1,1
"iris","Fold_1","ctree",0.1,0.2,1,1
"iris","Fold_1","ctree",0.1,0.3,1,1
"iris","Fold_1","ctree",0.1,0.4,1,1
"iris","Fold_1","ctree",0.1,0.5,1,1
"iris","Fold_1","ctree",0.1,0.6,1,1
"iris","Fold_1","ctree",0.1,0.7,1,1
"iris","Fold_1","ctree",0.1,0.8,1,1
"iris","Fold_1","ctree",0.1,0.9,1,1
"iris","Fold_1","ctree",0.1,1,1,1
"iris","Fold_1","ctree",0.2,0,1,1
"iris","Fold_1","ctree",0.2,0.1,1,1
"iris","Fold_1","ctree",0.2,0.2,1,1
"iris","Fold_1","ctree",0.2,0.3,1,1
"iris","Fold_1","ctree",0.2,0.4,1,1
"iris","Fold_1","ctree",0.2,0.5,1,1
"iris","Fold_1","ctree",0.2,0.6,1,1
"iris","Fold_1","ctree",0.2,0.7,1,1
"iris","Fold_1","ctree",0.2,0.8,1,1
"iris","Fold_1","ctree",0.2,0.9,1,1
"iris","Fold_1","ctree",0.2,1,1,1
"iris","Fold_1","ctree",0.3,0,1,1
"iris","Fold_1","ctree",0.3,0.1,1,1
"iris","Fold_1","ctree",0.3,0.2,1,1
"iris","Fold_1","ctree",0.3,0.3,1,1
"iris","Fold_1","ctree",0.3,0.4,1,1
"iris","Fold_1","ctree",0.3,0.5,1,1
"iris","Fold_1","ctree",0.3,0.6,1,1
"iris","Fold_1","ctree",0.3,0.7,1,1
"iris","Fold_1","ctree",0.3,0.8,1,1
"iris","Fold_1","ctree",0.3,0.9,1,1
"iris","Fold_1","ctree",0.3,1,1,1
"iris","Fold_1","ctree",0.4,0,1,1
"iris","Fold_1","ctree",0.4,0.1,1,1
"iris","Fold_1","ctree",0.4,0.2,1,1
"iris","Fold_1","ctree",0.4,0.3,1,1
"iris","Fold_1","ctree",0.4,0.4,1,1
"iris","Fold_1","ctree",0.4,0.5,1,1
"iris","Fold_1","ctree",0.4,0.6,1,1
"iris","Fold_1","ctree",0.4,0.7,1,1
"iris","Fold_1","ctree",0.4,0.8,1,1
"iris","Fold_1","ctree",0.4,0.9,1,1
"iris","Fold_1","ctree",0.4,1,1,1
"iris","Fold_1","ctree",0.5,0,1,1
"iris","Fold_1","ctree",0.5,0.1,1,1
"iris","Fold_1","ctree",0.5,0.2,1,1
"iris","Fold_1","ctree",0.5,0.3,1,1
"iris","Fold_1","ctree",0.5,0.4,1,1
"iris","Fold_1","ctree",0.5,0.5,1,1
"iris","Fold_1","ctree",0.5,0.6,1,1
"iris","Fold_1","ctree",0.5,0.7,1,1
"iris","Fold_1","ctree",0.5,0.8,1,1
"iris","Fold_1","ctree",0.5,0.9,1,1
"iris","Fold_1","ctree",0.5,1,1,1
"iris","Fold_1","ctree",0.6,0,1,1
"iris","Fold_1","ctree",0.6,0.1,1,1
"iris","Fold_1","ctree",0.6,0.2,1,1
"iris","Fold_1","ctree",0.6,0.3,1,1
"iris","Fold_1","ctree",0.6,0.4,1,1
"iris","Fold_1","ctree",0.6,0.5,1,1
"iris","Fold_1","ctree",0.6,0.6,1,1
"iris","Fold_1","ctree",0.6,0.7,1,1
"iris","Fold_1","ctree",0.6,0.8,1,1
"iris","Fold_1","ctree",0.6,0.9,1,1
"iris","Fold_1","ctree",0.6,1,1,1
"iris","Fold_1","ctree",0.7,0,1,1
"iris","Fold_1","ctree",0.7,0.1,1,1
"iris","Fold_1","ctree",0.7,0.2,1,1
"iris","Fold_1","ctree",0.7,0.3,1,1
"iris","Fold_1","ctree",0.7,0.4,1,1
"iris","Fold_1","ctree",0.7,0.5,1,1
"iris","Fold_1","ctree",0.7,0.6,1,1
"iris","Fold_1","ctree",0.7,0.7,1,1
"iris","Fold_1","ctree",0.7,0.8,1,1
"iris","Fold_1","ctree",0.7,0.9,1,1
"iris","Fold_1","ctree",0.7,1,1,1
"iris","Fold_1","ctree",0.8,0,1,1
"iris","Fold_1","ctree",0.8,0.1,1,1
"iris","Fold_1","ctree",0.8,0.2,1,1
"iris","Fold_1","ctree",0.8,0.3,1,1
"iris","Fold_1","ctree",0.8,0.4,1,1
"iris","Fold_1","ctree",0.8,0.5,1,1
"iris","Fold_1","ctree",0.8,0.6,1,1
"iris","Fold_1","ctree",0.8,0.7,1,1
"iris","Fold_1","ctree",0.8,0.8,1,1
"iris","Fold_1","ctree",0.8,0.9,1,1
"iris","Fold_1","ctree",0.8,1,1,1
"iris","Fold_1","ctree",0.9,0,1,1
"iris","Fold_1","ctree",0.9,0.1,1,1
"iris","Fold_1","ctree",0.9,0.2,1,1
"iris","Fold_1","ctree",0.9,0.3,1,1
"iris","Fold_1","ctree",0.9,0.4,1,1
"iris","Fold_1","ctree",0.9,0.5,1,1
"iris","Fold_1","ctree",0.9,0.6,1,1
"iris","Fold_1","ctree",0.9,0.7,1,1
"iris","Fold_1","ctree",0.9,0.8,1,1
"iris","Fold_1","ctree",0.9,0.9,1,1
"iris","Fold_1","ctree",0.9,1,1,1
"iris","Fold_1","ctree",1,0,1,1
"iris","Fold_1","ctree",1,0.1,1,1
"iris","Fold_1","ctree",1,0.2,1,1
"iris","Fold_1","ctree",1,0.3,1,1
"iris","Fold_1","ctree",1,0.4,1,1
"iris","Fold_1","ctree",1,0.5,1,1
"iris","Fold_1","ctree",1,0.6,1,1
"iris","Fold_1","ctree",1,0.7,1,1
"iris","Fold_1","ctree",1,0.8,1,1
"iris","Fold_1","ctree",1,0.9,1,1
"iris","Fold_1","ctree",1,1,1,1
"iris","Fold_1","fda",0,0,1,1
"iris","Fold_1","fda",0,0.1,1,1
"iris","Fold_1","fda",0,0.2,1,1
"iris","Fold_1","fda",0,0.3,1,1
"iris","Fold_1","fda",0,0.4,1,1
"iris","Fold_1","fda",0,0.5,1,1
"iris","Fold_1","fda",0,0.6,1,1
"iris","Fold_1","fda",0,0.7,1,1
"iris","Fold_1","fda",0,0.8,1,1
"iris","Fold_1","fda",0,0.9,1,1
"iris","Fold_1","fda",0,1,1,1
"iris","Fold_1","fda",0.1,0,1,1
"iris","Fold_1","fda",0.1,0.1,1,1
"iris","Fold_1","fda",0.1,0.2,1,1
"iris","Fold_1","fda",0.1,0.3,1,1
"iris","Fold_1","fda",0.1,0.4,1,1
"iris","Fold_1","fda",0.1,0.5,1,1
"iris","Fold_1","fda",0.1,0.6,1,1
"iris","Fold_1","fda",0.1,0.7,1,1
"iris","Fold_1","fda",0.1,0.8,1,1
"iris","Fold_1","fda",0.1,0.9,1,1
"iris","Fold_1","fda",0.1,1,1,1
"iris","Fold_1","fda",0.2,0,1,1
"iris","Fold_1","fda",0.2,0.1,1,1
"iris","Fold_1","fda",0.2,0.2,1,1
"iris","Fold_1","fda",0.2,0.3,1,1
"iris","Fold_1","fda",0.2,0.4,1,1
"iris","Fold_1","fda",0.2,0.5,1,1
"iris","Fold_1","fda",0.2,0.6,1,1
"iris","Fold_1","fda",0.2,0.7,1,1
"iris","Fold_1","fda",0.2,0.8,1,1
"iris","Fold_1","fda",0.2,0.9,1,1
"iris","Fold_1","fda",0.2,1,1,1
"iris","Fold_1","fda",0.3,0,1,1
"iris","Fold_1","fda",0.3,0.1,1,1
"iris","Fold_1","fda",0.3,0.2,1,1
"iris","Fold_1","fda",0.3,0.3,1,1
"iris","Fold_1","fda",0.3,0.4,1,1
"iris","Fold_1","fda",0.3,0.5,1,1
"iris","Fold_1","fda",0.3,0.6,1,1
"iris","Fold_1","fda",0.3,0.7,1,1
"iris","Fold_1","fda",0.3,0.8,1,1
"iris","Fold_1","fda",0.3,0.9,1,1
"iris","Fold_1","fda",0.3,1,1,1
"iris","Fold_1","fda",0.4,0,1,1
"iris","Fold_1","fda",0.4,0.1,1,1
"iris","Fold_1","fda",0.4,0.2,1,1
"iris","Fold_1","fda",0.4,0.3,1,1
"iris","Fold_1","fda",0.4,0.4,1,1
"iris","Fold_1","fda",0.4,0.5,1,1
"iris","Fold_1","fda",0.4,0.6,1,1
"iris","Fold_1","fda",0.4,0.7,1,1
"iris","Fold_1","fda",0.4,0.8,1,1
"iris","Fold_1","fda",0.4,0.9,1,1
"iris","Fold_1","fda",0.4,1,1,1
"iris","Fold_1","fda",0.5,0,1,1
"iris","Fold_1","fda",0.5,0.1,1,1
"iris","Fold_1","fda",0.5,0.2,1,1
"iris","Fold_1","fda",0.5,0.3,1,1
"iris","Fold_1","fda",0.5,0.4,1,1
"iris","Fold_1","fda",0.5,0.5,1,1
"iris","Fold_1","fda",0.5,0.6,1,1
"iris","Fold_1","fda",0.5,0.7,1,1
"iris","Fold_1","fda",0.5,0.8,1,1
"iris","Fold_1","fda",0.5,0.9,1,1
"iris","Fold_1","fda",0.5,1,1,1
"iris","Fold_1","fda",0.6,0,1,1
"iris","Fold_1","fda",0.6,0.1,1,1
"iris","Fold_1","fda",0.6,0.2,1,1
"iris","Fold_1","fda",0.6,0.3,1,1
"iris","Fold_1","fda",0.6,0.4,1,1
"iris","Fold_1","fda",0.6,0.5,1,1
"iris","Fold_1","fda",0.6,0.6,1,1
"iris","Fold_1","fda",0.6,0.7,1,1
"iris","Fold_1","fda",0.6,0.8,1,1
"iris","Fold_1","fda",0.6,0.9,1,1
"iris","Fold_1","fda",0.6,1,1,1
"iris","Fold_1","fda",0.7,0,1,1
"iris","Fold_1","fda",0.7,0.1,1,1
"iris","Fold_1","fda",0.7,0.2,1,1
"iris","Fold_1","fda",0.7,0.3,1,1
"iris","Fold_1","fda",0.7,0.4,1,1
"iris","Fold_1","fda",0.7,0.5,1,1
"iris","Fold_1","fda",0.7,0.6,1,1
"iris","Fold_1","fda",0.7,0.7,1,1
"iris","Fold_1","fda",0.7,0.8,1,1
"iris","Fold_1","fda",0.7,0.9,1,1
"iris","Fold_1","fda",0.7,1,1,1
"iris","Fold_1","fda",0.8,0,1,1
"iris","Fold_1","fda",0.8,0.1,1,1
"iris","Fold_1","fda",0.8,0.2,1,1
"iris","Fold_1","fda",0.8,0.3,1,1
"iris","Fold_1","fda",0.8,0.4,1,1
"iris","Fold_1","fda",0.8,0.5,1,1
"iris","Fold_1","fda",0.8,0.6,1,1
"iris","Fold_1","fda",0.8,0.7,1,1
"iris","Fold_1","fda",0.8,0.8,1,1
"iris","Fold_1","fda",0.8,0.9,1,1
"iris","Fold_1","fda",0.8,1,1,1
"iris","Fold_1","fda",0.9,0,1,1
"iris","Fold_1","fda",0.9,0.1,1,1
"iris","Fold_1","fda",0.9,0.2,1,1
"iris","Fold_1","fda",0.9,0.3,1,1
"iris","Fold_1","fda",0.9,0.4,1,1
"iris","Fold_1","fda",0.9,0.5,1,1
"iris","Fold_1","fda",0.9,0.6,1,1
"iris","Fold_1","fda",0.9,0.7,1,1
"iris","Fold_1","fda",0.9,0.8,1,1
"iris","Fold_1","fda",0.9,0.9,1,1
"iris","Fold_1","fda",0.9,1,1,1
"iris","Fold_1","fda",1,0,1,1
"iris","Fold_1","fda",1,0.1,1,1
"iris","Fold_1","fda",1,0.2,1,1
"iris","Fold_1","fda",1,0.3,1,1
"iris","Fold_1","fda",1,0.4,1,1
"iris","Fold_1","fda",1,0.5,1,1
"iris","Fold_1","fda",1,0.6,1,1
"iris","Fold_1","fda",1,0.7,1,1
"iris","Fold_1","fda",1,0.8,1,1
"iris","Fold_1","fda",1,0.9,1,1
"iris","Fold_1","fda",1,1,1,1
"iris","Fold_1","gbm",0,0,1,1
"iris","Fold_1","gbm",0,0.1,1,1
"iris","Fold_1","gbm",0,0.2,1,1
"iris","Fold_1","gbm",0,0.3,1,1
"iris","Fold_1","gbm",0,0.4,1,1
"iris","Fold_1","gbm",0,0.5,1,1
"iris","Fold_1","gbm",0,0.6,1,1
"iris","Fold_1","gbm",0,0.7,1,1
"iris","Fold_1","gbm",0,0.8,1,1
"iris","Fold_1","gbm",0,0.9,1,1
"iris","Fold_1","gbm",0,1,1,1
"iris","Fold_1","gbm",0.1,0,1,1
"iris","Fold_1","gbm",0.1,0.1,1,1
"iris","Fold_1","gbm",0.1,0.2,1,1
"iris","Fold_1","gbm",0.1,0.3,1,1
"iris","Fold_1","gbm",0.1,0.4,1,1
"iris","Fold_1","gbm",0.1,0.5,1,1
"iris","Fold_1","gbm",0.1,0.6,1,1
"iris","Fold_1","gbm",0.1,0.7,1,1
"iris","Fold_1","gbm",0.1,0.8,1,1
"iris","Fold_1","gbm",0.1,0.9,1,1
"iris","Fold_1","gbm",0.1,1,1,1
"iris","Fold_1","gbm",0.2,0,1,1
"iris","Fold_1","gbm",0.2,0.1,1,1
"iris","Fold_1","gbm",0.2,0.2,1,1
"iris","Fold_1","gbm",0.2,0.3,1,1
"iris","Fold_1","gbm",0.2,0.4,1,1
"iris","Fold_1","gbm",0.2,0.5,1,1
"iris","Fold_1","gbm",0.2,0.6,1,1
"iris","Fold_1","gbm",0.2,0.7,1,1
"iris","Fold_1","gbm",0.2,0.8,1,1
"iris","Fold_1","gbm",0.2,0.9,1,1
"iris","Fold_1","gbm",0.2,1,1,1
"iris","Fold_1","gbm",0.3,0,1,1
"iris","Fold_1","gbm",0.3,0.1,1,1
"iris","Fold_1","gbm",0.3,0.2,1,1
"iris","Fold_1","gbm",0.3,0.3,1,1
"iris","Fold_1","gbm",0.3,0.4,1,1
"iris","Fold_1","gbm",0.3,0.5,1,1
"iris","Fold_1","gbm",0.3,0.6,1,1
"iris","Fold_1","gbm",0.3,0.7,1,1
"iris","Fold_1","gbm",0.3,0.8,1,1
"iris","Fold_1","gbm",0.3,0.9,1,1
"iris","Fold_1","gbm",0.3,1,1,1
"iris","Fold_1","gbm",0.4,0,1,1
"iris","Fold_1","gbm",0.4,0.1,1,1
"iris","Fold_1","gbm",0.4,0.2,1,1
"iris","Fold_1","gbm",0.4,0.3,1,1
"iris","Fold_1","gbm",0.4,0.4,1,1
"iris","Fold_1","gbm",0.4,0.5,1,1
"iris","Fold_1","gbm",0.4,0.6,1,1
"iris","Fold_1","gbm",0.4,0.7,1,1
"iris","Fold_1","gbm",0.4,0.8,1,1
"iris","Fold_1","gbm",0.4,0.9,1,1
"iris","Fold_1","gbm",0.4,1,1,1
"iris","Fold_1","gbm",0.5,0,1,1
"iris","Fold_1","gbm",0.5,0.1,1,1
"iris","Fold_1","gbm",0.5,0.2,1,1
"iris","Fold_1","gbm",0.5,0.3,1,1
"iris","Fold_1","gbm",0.5,0.4,1,1
"iris","Fold_1","gbm",0.5,0.5,1,1
"iris","Fold_1","gbm",0.5,0.6,1,1
"iris","Fold_1","gbm",0.5,0.7,1,1
"iris","Fold_1","gbm",0.5,0.8,1,1
"iris","Fold_1","gbm",0.5,0.9,1,1
"iris","Fold_1","gbm",0.5,1,1,1
"iris","Fold_1","gbm",0.6,0,1,1
"iris","Fold_1","gbm",0.6,0.1,1,1
"iris","Fold_1","gbm",0.6,0.2,1,1
"iris","Fold_1","gbm",0.6,0.3,1,1
"iris","Fold_1","gbm",0.6,0.4,1,1
"iris","Fold_1","gbm",0.6,0.5,1,1
"iris","Fold_1","gbm",0.6,0.6,1,1
"iris","Fold_1","gbm",0.6,0.7,1,1
"iris","Fold_1","gbm",0.6,0.8,1,1
"iris","Fold_1","gbm",0.6,0.9,1,1
"iris","Fold_1","gbm",0.6,1,1,1
"iris","Fold_1","gbm",0.7,0,1,1
"iris","Fold_1","gbm",0.7,0.1,1,1
"iris","Fold_1","gbm",0.7,0.2,1,1
"iris","Fold_1","gbm",0.7,0.3,1,1
"iris","Fold_1","gbm",0.7,0.4,1,1
"iris","Fold_1","gbm",0.7,0.5,1,1
"iris","Fold_1","gbm",0.7,0.6,1,1
"iris","Fold_1","gbm",0.7,0.7,1,1
"iris","Fold_1","gbm",0.7,0.8,1,1
"iris","Fold_1","gbm",0.7,0.9,1,1
"iris","Fold_1","gbm",0.7,1,1,1
"iris","Fold_1","gbm",0.8,0,1,1
"iris","Fold_1","gbm",0.8,0.1,1,1
"iris","Fold_1","gbm",0.8,0.2,1,1
"iris","Fold_1","gbm",0.8,0.3,1,1
"iris","Fold_1","gbm",0.8,0.4,1,1
"iris","Fold_1","gbm",0.8,0.5,1,1
"iris","Fold_1","gbm",0.8,0.6,1,1
"iris","Fold_1","gbm",0.8,0.7,1,1
"iris","Fold_1","gbm",0.8,0.8,1,1
"iris","Fold_1","gbm",0.8,0.9,1,1
"iris","Fold_1","gbm",0.8,1,1,1
"iris","Fold_1","gbm",0.9,0,1,1
"iris","Fold_1","gbm",0.9,0.1,1,1
"iris","Fold_1","gbm",0.9,0.2,1,1
"iris","Fold_1","gbm",0.9,0.3,1,1
"iris","Fold_1","gbm",0.9,0.4,1,1
"iris","Fold_1","gbm",0.9,0.5,1,1
"iris","Fold_1","gbm",0.9,0.6,1,1
"iris","Fold_1","gbm",0.9,0.7,1,1
"iris","Fold_1","gbm",0.9,0.8,1,1
"iris","Fold_1","gbm",0.9,0.9,1,1
"iris","Fold_1","gbm",0.9,1,1,1
"iris","Fold_1","gbm",1,0,1,1
"iris","Fold_1","gbm",1,0.1,1,1
"iris","Fold_1","gbm",1,0.2,1,1
"iris","Fold_1","gbm",1,0.3,1,1
"iris","Fold_1","gbm",1,0.4,1,1
"iris","Fold_1","gbm",1,0.5,1,1
"iris","Fold_1","gbm",1,0.6,1,1
"iris","Fold_1","gbm",1,0.7,1,1
"iris","Fold_1","gbm",1,0.8,1,1
"iris","Fold_1","gbm",1,0.9,1,1
"iris","Fold_1","gbm",1,1,1,1
"iris","Fold_1","gcvEarth",0,0,1,1
"iris","Fold_1","gcvEarth",0,0.1,1,1
"iris","Fold_1","gcvEarth",0,0.2,1,1
"iris","Fold_1","gcvEarth",0,0.3,1,1
"iris","Fold_1","gcvEarth",0,0.4,1,1
"iris","Fold_1","gcvEarth",0,0.5,1,1
"iris","Fold_1","gcvEarth",0,0.6,1,1
"iris","Fold_1","gcvEarth",0,0.7,1,1
"iris","Fold_1","gcvEarth",0,0.8,1,1
"iris","Fold_1","gcvEarth",0,0.9,1,1
"iris","Fold_1","gcvEarth",0,1,1,1
"iris","Fold_1","gcvEarth",0.1,0,1,1
"iris","Fold_1","gcvEarth",0.1,0.1,1,1
"iris","Fold_1","gcvEarth",0.1,0.2,1,1
"iris","Fold_1","gcvEarth",0.1,0.3,1,1
"iris","Fold_1","gcvEarth",0.1,0.4,1,1
"iris","Fold_1","gcvEarth",0.1,0.5,1,1
"iris","Fold_1","gcvEarth",0.1,0.6,1,1
"iris","Fold_1","gcvEarth",0.1,0.7,1,1
"iris","Fold_1","gcvEarth",0.1,0.8,1,1
"iris","Fold_1","gcvEarth",0.1,0.9,1,1
"iris","Fold_1","gcvEarth",0.1,1,1,1
"iris","Fold_1","gcvEarth",0.2,0,1,1
"iris","Fold_1","gcvEarth",0.2,0.1,1,1
"iris","Fold_1","gcvEarth",0.2,0.2,1,1
"iris","Fold_1","gcvEarth",0.2,0.3,1,1
"iris","Fold_1","gcvEarth",0.2,0.4,1,1
"iris","Fold_1","gcvEarth",0.2,0.5,1,1
"iris","Fold_1","gcvEarth",0.2,0.6,1,1
"iris","Fold_1","gcvEarth",0.2,0.7,1,1
"iris","Fold_1","gcvEarth",0.2,0.8,1,1
"iris","Fold_1","gcvEarth",0.2,0.9,1,1
"iris","Fold_1","gcvEarth",0.2,1,1,1
"iris","Fold_1","gcvEarth",0.3,0,1,1
"iris","Fold_1","gcvEarth",0.3,0.1,1,1
"iris","Fold_1","gcvEarth",0.3,0.2,1,1
"iris","Fold_1","gcvEarth",0.3,0.3,1,1
"iris","Fold_1","gcvEarth",0.3,0.4,1,1
"iris","Fold_1","gcvEarth",0.3,0.5,1,1
"iris","Fold_1","gcvEarth",0.3,0.6,1,1
"iris","Fold_1","gcvEarth",0.3,0.7,1,1
"iris","Fold_1","gcvEarth",0.3,0.8,1,1
"iris","Fold_1","gcvEarth",0.3,0.9,1,1
"iris","Fold_1","gcvEarth",0.3,1,1,1
"iris","Fold_1","gcvEarth",0.4,0,1,1
"iris","Fold_1","gcvEarth",0.4,0.1,1,1
"iris","Fold_1","gcvEarth",0.4,0.2,1,1
"iris","Fold_1","gcvEarth",0.4,0.3,1,1
"iris","Fold_1","gcvEarth",0.4,0.4,1,1
"iris","Fold_1","gcvEarth",0.4,0.5,1,1
"iris","Fold_1","gcvEarth",0.4,0.6,1,1
"iris","Fold_1","gcvEarth",0.4,0.7,1,1
"iris","Fold_1","gcvEarth",0.4,0.8,1,1
"iris","Fold_1","gcvEarth",0.4,0.9,1,1
"iris","Fold_1","gcvEarth",0.4,1,1,1
"iris","Fold_1","gcvEarth",0.5,0,1,1
"iris","Fold_1","gcvEarth",0.5,0.1,1,1
"iris","Fold_1","gcvEarth",0.5,0.2,1,1
"iris","Fold_1","gcvEarth",0.5,0.3,1,1
"iris","Fold_1","gcvEarth",0.5,0.4,1,1
