Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: cardiotocography 
Loaded 424 indices for fold 1 from: results/instances/original/vectors/cardiotocography_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/cardiotocography_V26_noise0.1.csv 
Altering 1702 out of 1702 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    1.5569
     2        1.3769            -nan     0.1000    0.6179
     3        1.0251            -nan     0.1000    0.4064
     4        0.7950            -nan     0.1000    0.2944
     5        0.6286            -nan     0.1000    0.2220
     6        0.5024            -nan     0.1000    0.1721
     7        0.4044            -nan     0.1000    0.1355
     8        0.3269            -nan     0.1000    0.1085
     9        0.2652            -nan     0.1000    0.0865
    10        0.2155            -nan     0.1000    0.0703
    20        0.0285            -nan     0.1000    0.0090
    40        0.0005            -nan     0.1000    0.0002
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    1.5511
     2        1.3769            -nan     0.1000    0.6190
     3        1.0251            -nan     0.1000    0.4061
     4        0.7950            -nan     0.1000    0.2923
     5        0.6286            -nan     0.1000    0.2212
     6        0.5024            -nan     0.1000    0.1722
     7        0.4044            -nan     0.1000    0.1358
     8        0.3269            -nan     0.1000    0.1081
     9        0.2652            -nan     0.1000    0.0871
    10        0.2155            -nan     0.1000    0.0702
    20        0.0285            -nan     0.1000    0.0090
    40        0.0005            -nan     0.1000    0.0002
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
