dataset,fold,method,noise_levels,instance_level,accuracy,kappa
mfeat-karhunen,Fold_1,bayesglm,0.1,0.1,1,1
mfeat-karhunen,Fold_1,bayesglm,0.1,0.2,1,1
mfeat-karhunen,Fold_1,bayesglm,0.1,0.25,1,1
mfeat-karhunen,Fold_1,bayesglm,0.1,0.3,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.4,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.5,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.6,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.7,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.75,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.8,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,0.9,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.1,1,0.9975,0.986263736263737
mfeat-karhunen,Fold_1,bayesglm,0.2,0.1,1,1
mfeat-karhunen,Fold_1,bayesglm,0.2,0.2,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.25,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.3,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.4,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.5,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.6,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.7,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.75,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.8,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,0.9,0.9975,0.985955056179776
mfeat-karhunen,Fold_1,bayesglm,0.2,1,0.995,0.972224151100618
