"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","ctree",0.1,0.1,0.996900826446281,0.970322527899276
"wilt","Fold_1","ctree",0.1,0.2,0.996900826446281,0.970322527899276
"wilt","Fold_1","ctree",0.1,0.25,0.995867768595041,0.96007835859367
"wilt","Fold_1","ctree",0.1,0.3,0.994834710743802,0.950537546498795
"wilt","Fold_1","ctree",0.1,0.4,0.989669421487603,0.903622135048487
"wilt","Fold_1","ctree",0.1,0.5,0.988636363636364,0.894886475814413
"wilt","Fold_1","ctree",0.1,0.6,0.984504132231405,0.859061966143811
"wilt","Fold_1","ctree",0.1,0.7,0.982438016528926,0.840270228296319
"wilt","Fold_1","ctree",0.1,0.75,0.981404958677686,0.832277689005256
"wilt","Fold_1","ctree",0.1,0.8,0.979338842975207,0.813641876672506
"wilt","Fold_1","ctree",0.1,0.9,0.975206611570248,0.780020831360667
"wilt","Fold_1","ctree",0.1,1,0.973140495867769,0.761689233974056
"wilt","Fold_1","ctree",0.2,0.1,0.992768595041322,0.931951474250823
"wilt","Fold_1","ctree",0.2,0.2,0.988636363636364,0.893066602394151
"wilt","Fold_1","ctree",0.2,0.25,0.985537190082645,0.867347937589319
"wilt","Fold_1","ctree",0.2,0.3,0.979338842975207,0.819628449512735
"wilt","Fold_1","ctree",0.2,0.4,0.977272727272727,0.804727759540795
"wilt","Fold_1","ctree",0.2,0.5,0.972107438016529,0.769458753792957
"wilt","Fold_1","ctree",0.2,0.6,0.961776859504132,0.70218851859243
"wilt","Fold_1","ctree",0.2,0.7,0.955578512396694,0.668165438948946
"wilt","Fold_1","ctree",0.2,0.75,0.953512396694215,0.657439446366782
"wilt","Fold_1","ctree",0.2,0.8,0.949380165289256,0.631979144036497
"wilt","Fold_1","ctree",0.2,0.9,0.935950413223141,0.560779262598616
"wilt","Fold_1","ctree",0.2,1,0.929752066115702,0.53584272356749
"wilt","Fold_1","ctree",0.3,0.1,0.985537190082645,0.871678818293722
"wilt","Fold_1","ctree",0.3,0.2,0.971074380165289,0.762724328109953
"wilt","Fold_1","ctree",0.3,0.25,0.966942148760331,0.736773228640868
"wilt","Fold_1","ctree",0.3,0.3,0.959710743801653,0.690526937075778
"wilt","Fold_1","ctree",0.3,0.4,0.949380165289256,0.631979144036497
"wilt","Fold_1","ctree",0.3,0.5,0.941115702479339,0.593636765355723
"wilt","Fold_1","ctree",0.3,0.6,0.926652892561983,0.518293195772239
"wilt","Fold_1","ctree",0.3,0.7,0.918388429752066,0.470415512465374
"wilt","Fold_1","ctree",0.3,0.75,0.913223140495868,0.440239016397956
"wilt","Fold_1","ctree",0.3,0.8,0.90599173553719,0.417777072758037
"wilt","Fold_1","ctree",0.3,0.9,0.894628099173554,0.379229695575088
"wilt","Fold_1","ctree",0.3,1,0.880165289256198,0.337135031110166
"wilt","Fold_2","ctree",0.1,0.1,0.997931747673216,0.977175093235141
"wilt","Fold_2","ctree",0.1,0.2,0.99482936918304,0.942342320855742
"wilt","Fold_2","ctree",0.1,0.25,0.992761116856256,0.920929363253005
"wilt","Fold_2","ctree",0.1,0.3,0.990692864529473,0.896216177540336
"wilt","Fold_2","ctree",0.1,0.4,0.989658738366081,0.883468704056301
"wilt","Fold_2","ctree",0.1,0.5,0.985522233712513,0.840225652645989
"wilt","Fold_2","ctree",0.1,0.6,0.982419855222337,0.807971310757298
"wilt","Fold_2","ctree",0.1,0.7,0.981385729058945,0.798732684257995
"wilt","Fold_2","ctree",0.1,0.75,0.979317476732161,0.780805150058935
"wilt","Fold_2","ctree",0.1,0.8,0.978283350568769,0.772105446261236
"wilt","Fold_2","ctree",0.1,0.9,0.976215098241985,0.75040120304802
"wilt","Fold_2","ctree",0.1,1,0.974146845915202,0.733922537614052
"wilt","Fold_2","ctree",0.2,0.1,0.990692864529473,0.904212113541059
"wilt","Fold_2","ctree",0.2,0.2,0.984488107549121,0.849074469081336
"wilt","Fold_2","ctree",0.2,0.25,0.978283350568769,0.799648766242094
"wilt","Fold_2","ctree",0.2,0.3,0.974146845915202,0.765534832746564
"wilt","Fold_2","ctree",0.2,0.4,0.963805584281282,0.692617181468934
"wilt","Fold_2","ctree",0.2,0.5,0.954498448810755,0.639368717261956
"wilt","Fold_2","ctree",0.2,0.6,0.946225439503619,0.591956634640353
"wilt","Fold_2","ctree",0.2,0.7,0.932781799379524,0.520582425042141
"wilt","Fold_2","ctree",0.2,0.75,0.928645294725957,0.504312554324813
"wilt","Fold_2","ctree",0.2,0.8,0.923474663908997,0.471826515699503
"wilt","Fold_2","ctree",0.2,0.9,0.914167528438469,0.433213047377601
"wilt","Fold_2","ctree",0.2,1,0.905894519131334,0.386168795384948
"wilt","Fold_2","ctree",0.3,0.1,0.988624612202689,0.885138272484801
"wilt","Fold_2","ctree",0.3,0.2,0.972078593588418,0.742405556596979
"wilt","Fold_2","ctree",0.3,0.25,0.970010341261634,0.728020405986014
"wilt","Fold_2","ctree",0.3,0.3,0.960703205791106,0.658119499078915
"wilt","Fold_2","ctree",0.3,0.4,0.947259565667011,0.578872313354454
"wilt","Fold_2","ctree",0.3,0.5,0.93071354705274,0.499145774871093
"wilt","Fold_2","ctree",0.3,0.6,0.917269906928645,0.443381157272165
"wilt","Fold_2","ctree",0.3,0.7,0.905894519131334,0.393571640237893
"wilt","Fold_2","ctree",0.3,0.75,0.89865563598759,0.373373360135421
"wilt","Fold_2","ctree",0.3,0.8,0.895553257497415,0.350432636990628
"wilt","Fold_2","ctree",0.3,0.9,0.880041365046536,0.28316355874797
"wilt","Fold_2","ctree",0.3,1,0.863495346432265,0.219216794509487
"wilt","Fold_3","ctree",0.1,0.1,0.998968008255934,0.988931153832973
"wilt","Fold_3","ctree",0.1,0.2,0.992776057791538,0.922518076830814
"wilt","Fold_3","ctree",0.1,0.25,0.992776057791538,0.922518076830814
"wilt","Fold_3","ctree",0.1,0.3,0.989680082559339,0.892533936651583
"wilt","Fold_3","ctree",0.1,0.4,0.982456140350877,0.819063519435871
"wilt","Fold_3","ctree",0.1,0.5,0.979360165118679,0.789159903392154
"wilt","Fold_3","ctree",0.1,0.6,0.977296181630547,0.76807589373137
"wilt","Fold_3","ctree",0.1,0.7,0.976264189886481,0.759820245061588
"wilt","Fold_3","ctree",0.1,0.75,0.974200206398349,0.738935048979987
"wilt","Fold_3","ctree",0.1,0.8,0.973168214654283,0.7259078744098
"wilt","Fold_3","ctree",0.1,0.9,0.971104231166151,0.710338642866293
"wilt","Fold_3","ctree",0.1,1,0.969040247678019,0.689648545928171
"wilt","Fold_3","ctree",0.2,0.1,0.993808049535604,0.934244158429279
"wilt","Fold_3","ctree",0.2,0.2,0.986584107327141,0.858925111710885
"wilt","Fold_3","ctree",0.2,0.25,0.981424148606811,0.810243913052939
"wilt","Fold_3","ctree",0.2,0.3,0.977296181630547,0.776583034647551
"wilt","Fold_3","ctree",0.2,0.4,0.968008255933953,0.698986902888981
"wilt","Fold_3","ctree",0.2,0.5,0.954592363261094,0.604004903964037
"wilt","Fold_3","ctree",0.2,0.6,0.949432404540764,0.562560459909898
"wilt","Fold_3","ctree",0.2,0.7,0.939112487100103,0.505197199311079
"wilt","Fold_3","ctree",0.2,0.75,0.938080495356037,0.500592691851775
"wilt","Fold_3","ctree",0.2,0.8,0.934984520123839,0.479534158048647
"wilt","Fold_3","ctree",0.2,0.9,0.929824561403509,0.434005050765345
"wilt","Fold_3","ctree",0.2,1,0.927760577915377,0.417358140493738
"wilt","Fold_3","ctree",0.3,0.1,0.988648090815273,0.88725764995822
"wilt","Fold_3","ctree",0.3,0.2,0.974200206398349,0.761431117851551
"wilt","Fold_3","ctree",0.3,0.25,0.972136222910217,0.742345607279675
"wilt","Fold_3","ctree",0.3,0.3,0.966976264189886,0.707245227440095
"wilt","Fold_3","ctree",0.3,0.4,0.957688338493292,0.639786749839065
"wilt","Fold_3","ctree",0.3,0.5,0.942208462332301,0.560323453629131
