dataset,fold,method,noise_levels,instance_level,accuracy,kappa
tic-tac-toe,Fold_1,bayesglm,0.1,0.1,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,bayesglm,0.1,0.2,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,bayesglm,0.1,0.25,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,bayesglm,0.1,0.3,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,bayesglm,0.1,0.4,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,bayesglm,0.1,0.5,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,bayesglm,0.1,0.6,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,bayesglm,0.1,0.7,0.968911917098446,0.928720915917764
tic-tac-toe,Fold_1,bayesglm,0.1,0.75,0.968911917098446,0.928720915917764
tic-tac-toe,Fold_1,bayesglm,0.1,0.8,0.963730569948187,0.917202917202917
tic-tac-toe,Fold_1,bayesglm,0.1,0.9,0.953367875647668,0.894465034327723
tic-tac-toe,Fold_1,bayesglm,0.1,1,0.94300518134715,0.872116137582073
tic-tac-toe,Fold_1,bayesglm,0.2,0.1,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,bayesglm,0.2,0.2,0.979274611398964,0.952061599602583
tic-tac-toe,Fold_1,bayesglm,0.2,0.25,0.979274611398964,0.952061599602583
tic-tac-toe,Fold_1,bayesglm,0.2,0.3,0.968911917098446,0.928092399403875
tic-tac-toe,Fold_1,bayesglm,0.2,0.4,0.963730569948187,0.916476043276661
tic-tac-toe,Fold_1,bayesglm,0.2,0.5,0.953367875647668,0.892612055641422
tic-tac-toe,Fold_1,bayesglm,0.2,0.6,0.94300518134715,0.868748068006182
tic-tac-toe,Fold_1,bayesglm,0.2,0.7,0.932642487046632,0.846233989091132
tic-tac-toe,Fold_1,bayesglm,0.2,0.75,0.927461139896373,0.835123260922626
tic-tac-toe,Fold_1,bayesglm,0.2,0.8,0.917098445595855,0.81156944105443
tic-tac-toe,Fold_1,bayesglm,0.2,0.9,0.911917098445596,0.800656175952366
tic-tac-toe,Fold_1,bayesglm,0.2,1,0.906735751295337,0.78983666061706
tic-tac-toe,Fold_1,bayesglm,0.3,0.1,0.994818652849741,0.987962327699121
tic-tac-toe,Fold_1,bayesglm,0.3,0.2,0.979274611398964,0.952480610611843
tic-tac-toe,Fold_1,bayesglm,0.3,0.25,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,bayesglm,0.3,0.3,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,bayesglm,0.3,0.4,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,bayesglm,0.3,0.5,0.958549222797927,0.90659407138536
tic-tac-toe,Fold_1,bayesglm,0.3,0.6,0.953367875647668,0.895367748930787
tic-tac-toe,Fold_1,bayesglm,0.3,0.7,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,bayesglm,0.3,0.75,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,bayesglm,0.3,0.8,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,bayesglm,0.3,0.9,0.922279792746114,0.829975920596699
tic-tac-toe,Fold_1,bayesglm,0.3,1,0.917098445595855,0.819394081179085
tic-tac-toe,Fold_2,bayesglm,0.1,0.1,1,1
tic-tac-toe,Fold_2,bayesglm,0.1,0.2,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,bayesglm,0.1,0.25,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,bayesglm,0.1,0.3,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,bayesglm,0.1,0.4,0.984293193717278,0.96514810534639
tic-tac-toe,Fold_2,bayesglm,0.1,0.5,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,bayesglm,0.1,0.6,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,bayesglm,0.1,0.7,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,bayesglm,0.1,0.75,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,bayesglm,0.1,0.8,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,bayesglm,0.1,0.9,0.973821989528796,0.942341363279599
tic-tac-toe,Fold_2,bayesglm,0.1,1,0.968586387434555,0.931063522617902
tic-tac-toe,Fold_2,bayesglm,0.2,0.1,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_2,bayesglm,0.2,0.2,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,bayesglm,0.2,0.25,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,bayesglm,0.2,0.3,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,bayesglm,0.2,0.4,0.984293193717278,0.96514810534639
tic-tac-toe,Fold_2,bayesglm,0.2,0.5,0.973821989528796,0.942341363279599
tic-tac-toe,Fold_2,bayesglm,0.2,0.6,0.963350785340314,0.919277908591439
tic-tac-toe,Fold_2,bayesglm,0.2,0.7,0.952879581151832,0.896214453903278
tic-tac-toe,Fold_2,bayesglm,0.2,0.75,0.947643979057592,0.88425645376318
tic-tac-toe,Fold_2,bayesglm,0.2,0.8,0.93717277486911,0.861107744515816
tic-tac-toe,Fold_2,bayesglm,0.2,0.9,0.93717277486911,0.861107744515816
tic-tac-toe,Fold_2,bayesglm,0.2,1,0.926701570680628,0.839148219441771
tic-tac-toe,Fold_2,bayesglm,0.3,0.1,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,bayesglm,0.3,0.2,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,bayesglm,0.3,0.25,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,bayesglm,0.3,0.3,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,bayesglm,0.3,0.4,0.984293193717278,0.96540481796776
tic-tac-toe,Fold_2,bayesglm,0.3,0.5,0.958115183246073,0.908754329392094
tic-tac-toe,Fold_2,bayesglm,0.3,0.6,0.947643979057592,0.886767844439175
tic-tac-toe,Fold_2,bayesglm,0.3,0.7,0.931937172774869,0.851183697932274
tic-tac-toe,Fold_2,bayesglm,0.3,0.75,0.926701570680628,0.840320076436164
tic-tac-toe,Fold_2,bayesglm,0.3,0.8,0.921465968586387,0.829535312667341
tic-tac-toe,Fold_2,bayesglm,0.3,0.9,0.905759162303665,0.794697241132211
tic-tac-toe,Fold_2,bayesglm,0.3,1,0.900523560209424,0.784078062711965
tic-tac-toe,Fold_3,bayesglm,0.1,0.1,0.994764397905759,0.988009291229832
tic-tac-toe,Fold_3,bayesglm,0.1,0.2,0.973821989528796,0.940561399141097
tic-tac-toe,Fold_3,bayesglm,0.1,0.25,0.973821989528796,0.940561399141097
tic-tac-toe,Fold_3,bayesglm,0.1,0.3,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,bayesglm,0.1,0.4,0.963350785340314,0.916785958797535
tic-tac-toe,Fold_3,bayesglm,0.1,0.5,0.963350785340314,0.916785958797535
tic-tac-toe,Fold_3,bayesglm,0.1,0.6,0.952879581151832,0.893010518453974
tic-tac-toe,Fold_3,bayesglm,0.1,0.7,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.1,0.75,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.1,0.8,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.1,0.9,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.1,1,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.2,0.1,0.994764397905759,0.988009291229832
tic-tac-toe,Fold_3,bayesglm,0.2,0.2,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,bayesglm,0.2,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,bayesglm,0.2,0.3,0.973821989528796,0.941067571737118
tic-tac-toe,Fold_3,bayesglm,0.2,0.4,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,bayesglm,0.2,0.5,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,bayesglm,0.2,0.6,0.963350785340314,0.917494600431966
tic-tac-toe,Fold_3,bayesglm,0.2,0.7,0.958115183246073,0.906107902175249
tic-tac-toe,Fold_3,bayesglm,0.2,0.75,0.952879581151832,0.89392162912681306
tic-tac-toe,Fold_3,bayesglm,0.2,0.8,0.952879581151832,0.89392162912681306
tic-tac-toe,Fold_3,bayesglm,0.2,0.9,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,bayesglm,0.2,1,0.942408376963351,0.87034865782166
tic-tac-toe,Fold_3,bayesglm,0.3,0.1,1,1
tic-tac-toe,Fold_3,bayesglm,0.3,0.2,0.989528795811518,0.976122015251906
tic-tac-toe,Fold_3,bayesglm,0.3,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,bayesglm,0.3,0.3,0.973821989528796,0.941067571737118
tic-tac-toe,Fold_3,bayesglm,0.3,0.4,0.958115183246073,0.905304908279623
tic-tac-toe,Fold_3,bayesglm,0.3,0.5,0.926701570680628,0.83139974779319
tic-tac-toe,Fold_3,bayesglm,0.3,0.6,0.916230366492147,0.808976122015252
tic-tac-toe,Fold_3,bayesglm,0.3,0.7,0.916230366492147,0.808976122015252
tic-tac-toe,Fold_3,bayesglm,0.3,0.75,0.910994764397906,0.79615795090715
tic-tac-toe,Fold_3,bayesglm,0.3,0.8,0.900523560209424,0.772176533366815
tic-tac-toe,Fold_3,bayesglm,0.3,0.9,0.900523560209424,0.772176533366815
tic-tac-toe,Fold_3,bayesglm,0.3,1,0.895287958115183,0.759142496847415
tic-tac-toe,Fold_4,bayesglm,0.1,0.1,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.2,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.25,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.3,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.4,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.5,1,1
tic-tac-toe,Fold_4,bayesglm,0.1,0.6,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,bayesglm,0.1,0.7,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,bayesglm,0.1,0.75,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,bayesglm,0.1,0.8,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,bayesglm,0.1,0.9,0.979166666666667,0.953125
tic-tac-toe,Fold_4,bayesglm,0.1,1,0.979166666666667,0.953125
tic-tac-toe,Fold_4,bayesglm,0.2,0.1,1,1
tic-tac-toe,Fold_4,bayesglm,0.2,0.2,0.984375,0.964980544747082
tic-tac-toe,Fold_4,bayesglm,0.2,0.25,0.984375,0.964980544747082
tic-tac-toe,Fold_4,bayesglm,0.2,0.3,0.984375,0.964980544747082
tic-tac-toe,Fold_4,bayesglm,0.2,0.4,0.979166666666667,0.953125
tic-tac-toe,Fold_4,bayesglm,0.2,0.5,0.979166666666667,0.953125
tic-tac-toe,Fold_4,bayesglm,0.2,0.6,0.973958333333333,0.941634241245136
tic-tac-toe,Fold_4,bayesglm,0.2,0.7,0.973958333333333,0.941634241245136
tic-tac-toe,Fold_4,bayesglm,0.2,0.75,0.96875,0.9296875
tic-tac-toe,Fold_4,bayesglm,0.2,0.8,0.963541666666667,0.918287937743191
tic-tac-toe,Fold_4,bayesglm,0.2,0.9,0.958333333333333,0.906976744186047
tic-tac-toe,Fold_4,bayesglm,0.2,1,0.953125,0.895752895752896
tic-tac-toe,Fold_4,bayesglm,0.3,0.1,1,1
tic-tac-toe,Fold_4,bayesglm,0.3,0.2,0.989583333333333,0.976744186046512
tic-tac-toe,Fold_4,bayesglm,0.3,0.25,0.984375,0.965250965250965
tic-tac-toe,Fold_4,bayesglm,0.3,0.3,0.973958333333333,0.942528735632184
tic-tac-toe,Fold_4,bayesglm,0.3,0.4,0.96875,0.930769230769231
tic-tac-toe,Fold_4,bayesglm,0.3,0.5,0.963541666666667,0.919540229885057
tic-tac-toe,Fold_4,bayesglm,0.3,0.6,0.953125,0.896551724137931
tic-tac-toe,Fold_4,bayesglm,0.3,0.7,0.932291666666667,0.85171102661597
tic-tac-toe,Fold_4,bayesglm,0.3,0.75,0.932291666666667,0.85171102661597
tic-tac-toe,Fold_4,bayesglm,0.3,0.8,0.921875,0.830188679245283
tic-tac-toe,Fold_4,bayesglm,0.3,0.9,0.911458333333333,0.808988764044944
tic-tac-toe,Fold_4,bayesglm,0.3,1,0.895833333333333,0.777777777777778
tic-tac-toe,Fold_5,bayesglm,0.1,0.1,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_5,bayesglm,0.1,0.2,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,bayesglm,0.1,0.25,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,bayesglm,0.1,0.3,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,bayesglm,0.1,0.4,0.984293193717278,0.965396461138958
tic-tac-toe,Fold_5,bayesglm,0.1,0.5,0.973821989528796,0.942327435231596
tic-tac-toe,Fold_5,bayesglm,0.1,0.6,0.968586387434555,0.931038632807799
tic-tac-toe,Fold_5,bayesglm,0.1,0.7,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,bayesglm,0.1,0.75,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,bayesglm,0.1,0.8,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,bayesglm,0.1,0.9,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,bayesglm,0.1,1,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,bayesglm,0.2,0.1,0.989528795811518,0.976503875015377
tic-tac-toe,Fold_5,bayesglm,0.2,0.2,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_5,bayesglm,0.2,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_5,bayesglm,0.2,0.3,0.973821989528796,0.94103846391307
tic-tac-toe,Fold_5,bayesglm,0.2,0.4,0.973821989528796,0.94103846391307
tic-tac-toe,Fold_5,bayesglm,0.2,0.5,0.963350785340314,0.918070960230406
tic-tac-toe,Fold_5,bayesglm,0.2,0.6,0.963350785340314,0.918070960230406
tic-tac-toe,Fold_5,bayesglm,0.2,0.7,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,bayesglm,0.2,0.75,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,bayesglm,0.2,0.8,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,bayesglm,0.2,0.9,0.931937172774869,0.848975123167691
tic-tac-toe,Fold_5,bayesglm,0.2,1,0.916230366492147,0.816169393647738
tic-tac-toe,Fold_5,bayesglm,0.3,0.1,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,bayesglm,0.3,0.2,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,bayesglm,0.3,0.25,0.973821989528796,0.941927637579812
tic-tac-toe,Fold_5,bayesglm,0.3,0.3,0.963350785340314,0.918698692611736
tic-tac-toe,Fold_5,bayesglm,0.3,0.4,0.963350785340314,0.918698692611736
