"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.1,0.998166819431714,0.995805910936155
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.2,0.997250229147571,0.993704183169221
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.25,0.996333638863428,0.991599323941927
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.3,0.994500458295142,0.987417732808464
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.4,0.994500458295142,0.987417732808464
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.5,0.992667277726856,0.983223643744618
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.6,0.99083409715857,0.979029554680772
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.7,0.988084326306141,0.972718127066626
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.75,0.988084326306141,0.972718127066626
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.8,0.988084326306141,0.972718127066626
"wall-robot-navigation","Fold_1","bayesglm",0.1,0.9,0.985334555453712,0.966347154853983
"wall-robot-navigation","Fold_1","bayesglm",0.1,1,0.980751604032997,0.955797662066557
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.1,0.999083409715857,0.99790139438974
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.2,0.995417048579285,0.989491326250494
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.25,0.994500458295142,0.987380183070244
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.3,0.993583868010999,0.985287856750691
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.4,0.99083409715857,0.978966971783739
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.5,0.989917506874427,0.976846394415816
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.6,0.986251145737855,0.968426901476112
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.7,0.984417965169569,0.964217155006261
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.75,0.982584784601283,0.960067039751876
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.8,0.978918423464711,0.951660100752271
"wall-robot-navigation","Fold_1","bayesglm",0.2,0.9,0.974335472043996,0.941195267593487
"wall-robot-navigation","Fold_1","bayesglm",0.2,1,0.97250229147571,0.937088664042317
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.1,0.996333638863428,0.991624282670864
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.2,0.989917506874427,0.977017987671178
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.25,0.987167736021998,0.970771827363571
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.3,0.984417965169569,0.964534911514155
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.4,0.978918423464711,0.952088731219176
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.5,0.978001833180568,0.949968663538116
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.6,0.974335472043996,0.941630107461135
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.7,0.971585701191567,0.93542394207802
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.75,0.969752520623281,0.931156004703948
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.8,0.967002749770852,0.924841841792039
"wall-robot-navigation","Fold_1","bayesglm",0.3,0.9,0.962419798350137,0.914466551298844
"wall-robot-navigation","Fold_1","bayesglm",0.3,1,0.955087076076994,0.89822896816407
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.1,0.998166819431714,0.995941824133314
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.2,0.998166819431714,0.995941824133314
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.25,0.997250229147571,0.993916571719586
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.3,0.997250229147571,0.993916571719586
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.4,0.997250229147571,0.993916571719586
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.5,0.996333638863428,0.991893869878408
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.6,0.995417048579285,0.989873713794582
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.7,0.994500458295142,0.987840804817612
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.75,0.994500458295142,0.987840804817612
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.8,0.994500458295142,0.987840804817612
"wall-robot-navigation","Fold_2","bayesglm",0.1,0.9,0.99083409715857,0.979760164441707
"wall-robot-navigation","Fold_2","bayesglm",0.1,1,0.99083409715857,0.979760164441707
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.1,0.999083409715857,0.997969631946939
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.2,0.993583868010999,0.985823199312415
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.25,0.993583868010999,0.985823199312415
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.3,0.992667277726856,0.983808131553366
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.4,0.989000916590284,0.975650944799881
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.5,0.987167736021998,0.971628544574428
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.6,0.983501374885426,0.963522414452836
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.7,0.979835013748854,0.955416284331244
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.75,0.978001833180568,0.951424394660097
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.8,0.976168652612282,0.947376427548438
"wall-robot-navigation","Fold_2","bayesglm",0.2,0.9,0.974335472043996,0.94332846043678
"wall-robot-navigation","Fold_2","bayesglm",0.2,1,0.971585701191567,0.937217025526409
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.1,0.993583868010999,0.985823199312415
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.2,0.99083409715857,0.979785590145892
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.25,0.989917506874427,0.977778106963576
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.3,0.988084326306141,0.973737762775135
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.4,0.984417965169569,0.965657074398254
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.5,0.980751604032997,0.957629579217763
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.6,0.976168652612282,0.94750847532902
"wall-robot-navigation","Fold_2","bayesglm",0.3,0.7,0.969752520623281,0.933584461534772
