dataset,fold,method,noise_levels,instance_level,accuracy,kappa
phoneme,Fold_1,bayesglm,0.1,0.1,0.996850393700787,0.993601821717533
phoneme,Fold_1,bayesglm,0.1,0.2,0.996850393700787,0.993601821717533
phoneme,Fold_1,bayesglm,0.1,0.25,0.995275590551181,0.990406454114649
phoneme,Fold_1,bayesglm,0.1,0.3,0.995275590551181,0.990406454114649
phoneme,Fold_1,bayesglm,0.1,0.4,0.993700787401575,0.987203643435066
phoneme,Fold_1,bayesglm,0.1,0.5,0.992125984251969,0.983998346915839
phoneme,Fold_1,bayesglm,0.1,0.6,0.990551181102362,0.980790561661793
phoneme,Fold_1,bayesglm,0.1,0.7,0.990551181102362,0.980790561661793
phoneme,Fold_1,bayesglm,0.1,0.75,0.990551181102362,0.980790561661793
phoneme,Fold_1,bayesglm,0.1,0.8,0.990551181102362,0.980790561661793
phoneme,Fold_1,bayesglm,0.1,0.9,0.990551181102362,0.980790561661793
phoneme,Fold_1,bayesglm,0.1,1,0.98740157480315,0.974367513346049
phoneme,Fold_1,bayesglm,0.2,0.1,0.993700787401575,0.987182592547737
phoneme,Fold_1,bayesglm,0.2,0.2,0.992125984251969,0.983984948373527
phoneme,Fold_1,bayesglm,0.2,0.25,0.990551181102362,0.98078998053788
phoneme,Fold_1,bayesglm,0.2,0.3,0.988976377952756,0.977597685682175
phoneme,Fold_1,bayesglm,0.2,0.4,0.982677165354331,0.964796363214846
phoneme,Fold_1,bayesglm,0.2,0.5,0.981102362204724,0.961579961075761
phoneme,Fold_1,bayesglm,0.2,0.6,0.977952755905512,0.955214105793451
phoneme,Fold_1,bayesglm,0.2,0.7,0.977952755905512,0.955214105793451
phoneme,Fold_1,bayesglm,0.2,0.75,0.976377952755906,0.951995040747517
phoneme,Fold_1,bayesglm,0.2,0.8,0.974803149606299,0.948816120906801
phoneme,Fold_1,bayesglm,0.2,0.9,0.971653543307087,0.942466249886745
phoneme,Fold_1,bayesglm,0.2,1,0.968503937007874,0.936073610985272
phoneme,Fold_1,bayesglm,0.3,0.1,1,1
phoneme,Fold_1,bayesglm,0.3,0.2,0.998425196850394,0.996791551928858
phoneme,Fold_1,bayesglm,0.3,0.25,0.995275590551181,0.990374655786575
phoneme,Fold_1,bayesglm,0.3,0.3,0.992125984251969,0.983971527374612
phoneme,Fold_1,bayesglm,0.3,0.4,0.985826771653543,0.971123967359725
phoneme,Fold_1,bayesglm,0.3,0.5,0.984251968503937,0.967901733811859
phoneme,Fold_1,bayesglm,0.3,0.6,0.981102362204724,0.96148208057423
phoneme,Fold_1,bayesglm,0.3,0.7,0.977952755905512,0.955062427336602
phoneme,Fold_1,bayesglm,0.3,0.75,0.973228346456693,0.945409492022554
phoneme,Fold_1,bayesglm,0.3,0.8,0.971653543307087,0.942173429120712
phoneme,Fold_1,bayesglm,0.3,0.9,0.966929133858268,0.932506643046944
phoneme,Fold_1,bayesglm,0.3,1,0.965354330708661,0.929262241126133
phoneme,Fold_2,bayesglm,0.1,0.1,1,1
phoneme,Fold_2,bayesglm,0.1,0.2,1,1
phoneme,Fold_2,bayesglm,0.1,0.25,0.996845425867508,0.993644747393745
phoneme,Fold_2,bayesglm,0.1,0.3,0.996845425867508,0.993644747393745
phoneme,Fold_2,bayesglm,0.1,0.4,0.99211356466877,0.984124758365802
phoneme,Fold_2,bayesglm,0.1,0.5,0.990536277602524,0.980944556875789
phoneme,Fold_2,bayesglm,0.1,0.6,0.990536277602524,0.980944556875789
phoneme,Fold_2,bayesglm,0.1,0.7,0.987381703470032,0.974606480554332
phoneme,Fold_2,bayesglm,0.1,0.75,0.987381703470032,0.974606480554332
phoneme,Fold_2,bayesglm,0.1,0.8,0.987381703470032,0.974606480554332
phoneme,Fold_2,bayesglm,0.1,0.9,0.982649842271293,0.965055568360608
phoneme,Fold_2,bayesglm,0.1,1,0.982649842271293,0.965055568360608
phoneme,Fold_2,bayesglm,0.2,0.1,1,1
phoneme,Fold_2,bayesglm,0.2,0.2,0.998422712933754,0.996819727720537
phoneme,Fold_2,bayesglm,0.2,0.25,0.995268138801262,0.990459183161612
phoneme,Fold_2,bayesglm,0.2,0.3,0.993690851735016,0.987275208734746
phoneme,Fold_2,bayesglm,0.2,0.4,0.985804416403785,0.971377549484836
phoneme,Fold_2,bayesglm,0.2,0.5,0.985804416403785,0.971377549484836
phoneme,Fold_2,bayesglm,0.2,0.6,0.982649842271293,0.965017004925911
phoneme,Fold_2,bayesglm,0.2,0.7,0.979495268138801,0.958656460366985
phoneme,Fold_2,bayesglm,0.2,0.75,0.979495268138801,0.958656460366985
phoneme,Fold_2,bayesglm,0.2,0.8,0.977917981072555,0.955463230571612
phoneme,Fold_2,bayesglm,0.2,0.9,0.973186119873817,0.945935371249135
phoneme,Fold_2,bayesglm,0.2,1,0.973186119873817,0.945935371249135
phoneme,Fold_2,bayesglm,0.3,0.1,0.998422712933754,0.996809806072439
phoneme,Fold_2,bayesglm,0.3,0.2,0.993690851735016,0.987243460764588
phoneme,Fold_2,bayesglm,0.3,0.25,0.993690851735016,0.987243460764588
phoneme,Fold_2,bayesglm,0.3,0.3,0.993690851735016,0.987243460764588
phoneme,Fold_2,bayesglm,0.3,0.4,0.99211356466877,0.984059618034254
phoneme,Fold_2,bayesglm,0.3,0.5,0.985804416403785,0.971326344988392
phoneme,Fold_2,bayesglm,0.3,0.6,0.985804416403785,0.971326344988392
