"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","ctree",0.1,0.1,1,1
"vehicle","Fold_1","ctree",0.1,0.2,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.25,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.3,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.4,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.5,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.6,0.994152046783626,0.992164948453608
"vehicle","Fold_1","ctree",0.1,0.7,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.1,0.75,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.1,0.8,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.1,0.9,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.1,1,0.982456140350877,0.976488381685687
"vehicle","Fold_1","ctree",0.2,0.1,1,1
"vehicle","Fold_1","ctree",0.2,0.2,1,1
"vehicle","Fold_1","ctree",0.2,0.25,0.994152046783626,0.992162793895229
"vehicle","Fold_1","ctree",0.2,0.3,0.994152046783626,0.992162793895229
"vehicle","Fold_1","ctree",0.2,0.4,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.2,0.5,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.2,0.6,0.988304093567251,0.984327742645037
"vehicle","Fold_1","ctree",0.2,0.7,0.982456140350877,0.976494845360825
"vehicle","Fold_1","ctree",0.2,0.75,0.982456140350877,0.976494845360825
"vehicle","Fold_1","ctree",0.2,0.8,0.982456140350877,0.976494845360825
"vehicle","Fold_1","ctree",0.2,0.9,0.976608187134503,0.968655485290074
"vehicle","Fold_1","ctree",0.2,1,0.970760233918129,0.960813969476145
"vehicle","Fold_1","ctree",0.3,0.1,0.988304093567251,0.984334203655353
"vehicle","Fold_1","ctree",0.3,0.2,0.982456140350877,0.97649807586586
"vehicle","Fold_1","ctree",0.3,0.25,0.976608187134503,0.968659793814433
"vehicle","Fold_1","ctree",0.3,0.3,0.976608187134503,0.968659793814433
"vehicle","Fold_1","ctree",0.3,0.4,0.970760233918129,0.960849855762627
"vehicle","Fold_1","ctree",0.3,0.5,0.964912280701754,0.95301337241253
"vehicle","Fold_1","ctree",0.3,0.6,0.95906432748538,0.945167201099404
"vehicle","Fold_1","ctree",0.3,0.7,0.95906432748538,0.945167201099404
"vehicle","Fold_1","ctree",0.3,0.75,0.95906432748538,0.945167201099404
"vehicle","Fold_1","ctree",0.3,0.8,0.953216374269006,0.937351163216706
"vehicle","Fold_1","ctree",0.3,0.9,0.935672514619883,0.913877569708347
"vehicle","Fold_1","ctree",0.3,1,0.91812865497076,0.890389634174259
"vehicle","Fold_2","ctree",0.1,0.1,1,1
"vehicle","Fold_2","ctree",0.1,0.2,1,1
"vehicle","Fold_2","ctree",0.1,0.25,1,1
"vehicle","Fold_2","ctree",0.1,0.3,1,1
"vehicle","Fold_2","ctree",0.1,0.4,1,1
"vehicle","Fold_2","ctree",0.1,0.5,1,1
"vehicle","Fold_2","ctree",0.1,0.6,0.994047619047619,0.991973244147157
"vehicle","Fold_2","ctree",0.1,0.7,0.994047619047619,0.991973244147157
"vehicle","Fold_2","ctree",0.1,0.75,0.994047619047619,0.991973244147157
"vehicle","Fold_2","ctree",0.1,0.8,0.994047619047619,0.991973244147157
"vehicle","Fold_2","ctree",0.1,0.9,0.994047619047619,0.991973244147157
"vehicle","Fold_2","ctree",0.1,1,0.988095238095238,0.983931133428981
"vehicle","Fold_2","ctree",0.2,0.1,0.994047619047619,0.991967871485944
"vehicle","Fold_2","ctree",0.2,0.2,0.994047619047619,0.991967871485944
"vehicle","Fold_2","ctree",0.2,0.25,0.994047619047619,0.991967871485944
"vehicle","Fold_2","ctree",0.2,0.3,0.994047619047619,0.991967871485944
"vehicle","Fold_2","ctree",0.2,0.4,0.988095238095238,0.983951089033244
"vehicle","Fold_2","ctree",0.2,0.5,0.988095238095238,0.983951089033244
"vehicle","Fold_2","ctree",0.2,0.6,0.988095238095238,0.983951089033244
"vehicle","Fold_2","ctree",0.2,0.7,0.988095238095238,0.983951089033244
"vehicle","Fold_2","ctree",0.2,0.75,0.988095238095238,0.983951089033244
"vehicle","Fold_2","ctree",0.2,0.8,0.982142857142857,0.975949608703951
"vehicle","Fold_2","ctree",0.2,0.9,0.976190476190476,0.967911374271798
"vehicle","Fold_2","ctree",0.2,1,0.976190476190476,0.967911374271798
"vehicle","Fold_2","ctree",0.3,0.1,0.988095238095238,0.983977110157368
"vehicle","Fold_2","ctree",0.3,0.2,0.982142857142857,0.975972540045767
"vehicle","Fold_2","ctree",0.3,0.25,0.982142857142857,0.975972540045767
"vehicle","Fold_2","ctree",0.3,0.3,0.982142857142857,0.975972540045767
"vehicle","Fold_2","ctree",0.3,0.4,0.982142857142857,0.975972540045767
"vehicle","Fold_2","ctree",0.3,0.5,0.976190476190476,0.967972547898199
"vehicle","Fold_2","ctree",0.3,0.6,0.970238095238095,0.959992379500857
"vehicle","Fold_2","ctree",0.3,0.7,0.964285714285714,0.952022846263684
"vehicle","Fold_2","ctree",0.3,0.75,0.964285714285714,0.952022846263684
"vehicle","Fold_2","ctree",0.3,0.8,0.964285714285714,0.952022846263684
"vehicle","Fold_2","ctree",0.3,0.9,0.964285714285714,0.952022846263684
"vehicle","Fold_2","ctree",0.3,1,0.958333333333333,0.944063926940639
"vehicle","Fold_3","ctree",0.1,0.1,1,1
"vehicle","Fold_3","ctree",0.1,0.2,1,1
"vehicle","Fold_3","ctree",0.1,0.25,1,1
"vehicle","Fold_3","ctree",0.1,0.3,1,1
"vehicle","Fold_3","ctree",0.1,0.4,1,1
"vehicle","Fold_3","ctree",0.1,0.5,0.994082840236686,0.991839690970546
"vehicle","Fold_3","ctree",0.1,0.6,0.994082840236686,0.991839690970546
"vehicle","Fold_3","ctree",0.1,0.7,0.994082840236686,0.991839690970546
"vehicle","Fold_3","ctree",0.1,0.75,0.994082840236686,0.991839690970546
"vehicle","Fold_3","ctree",0.1,0.8,0.994082840236686,0.991839690970546
"vehicle","Fold_3","ctree",0.1,0.9,0.988165680473373,0.983679381941092
"vehicle","Fold_3","ctree",0.1,1,0.988165680473373,0.983679381941092
"vehicle","Fold_3","ctree",0.2,0.1,1,1
"vehicle","Fold_3","ctree",0.2,0.2,1,1
"vehicle","Fold_3","ctree",0.2,0.25,1,1
"vehicle","Fold_3","ctree",0.2,0.3,0.994082840236686,0.991813998546864
"vehicle","Fold_3","ctree",0.2,0.4,0.994082840236686,0.991813998546864
"vehicle","Fold_3","ctree",0.2,0.5,0.988165680473373,0.983611326609775
"vehicle","Fold_3","ctree",0.2,0.6,0.982248520710059,0.975415797895554
"vehicle","Fold_3","ctree",0.2,0.7,0.970414201183432,0.959155065738593
"vehicle","Fold_3","ctree",0.2,0.75,0.970414201183432,0.959155065738593
"vehicle","Fold_3","ctree",0.2,0.8,0.970414201183432,0.959155065738593
"vehicle","Fold_3","ctree",0.2,0.9,0.970414201183432,0.959155065738593
"vehicle","Fold_3","ctree",0.2,1,0.970414201183432,0.959155065738593
"vehicle","Fold_3","ctree",0.3,0.1,1,1
"vehicle","Fold_3","ctree",0.3,0.2,1,1
"vehicle","Fold_3","ctree",0.3,0.25,1,1
"vehicle","Fold_3","ctree",0.3,0.3,0.994082840236686,0.991813998546864
"vehicle","Fold_3","ctree",0.3,0.4,0.994082840236686,0.991813998546864
"vehicle","Fold_3","ctree",0.3,0.5,0.988165680473373,0.983611326609775
"vehicle","Fold_3","ctree",0.3,0.6,0.976331360946746,0.967187651684302
"vehicle","Fold_3","ctree",0.3,0.7,0.976331360946746,0.967187651684302
"vehicle","Fold_3","ctree",0.3,0.75,0.976331360946746,0.967187651684302
"vehicle","Fold_3","ctree",0.3,0.8,0.976331360946746,0.967187651684302
"vehicle","Fold_3","ctree",0.3,0.9,0.976331360946746,0.967187651684302
"vehicle","Fold_3","ctree",0.3,1,0.976331360946746,0.967187651684302
"vehicle","Fold_4","ctree",0.1,0.1,1,1
"vehicle","Fold_4","ctree",0.1,0.2,1,1
"vehicle","Fold_4","ctree",0.1,0.25,0.994117647058824,0.992021775858832
"vehicle","Fold_4","ctree",0.1,0.3,0.988235294117647,0.984054028702748
