dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
iris,PART,0.2,0.75,0.98,0.97,0.03,0.03,0.045
iris,PART,0.2,0.8,0.973,0.96,0.04,0.043,0.065
iris,PART,0.2,0.9,0.973,0.96,0.04,0.043,0.065
iris,PART,0.2,1,0.973,0.96,0.04,0.043,0.065
iris,PART,0.3,0.1,0.993,0.99,0.01,0.015,0.023
iris,PART,0.3,0.2,0.993,0.99,0.01,0.015,0.023
iris,PART,0.3,0.25,0.993,0.99,0.01,0.015,0.023
iris,PART,0.3,0.3,0.993,0.99,0.01,0.015,0.023
iris,PART,0.3,0.4,0.987,0.98,0.02,0.018,0.028
iris,PART,0.3,0.5,0.98,0.97,0.03,0.018,0.028
iris,PART,0.3,0.6,0.967,0.949,0.051,0.033,0.05
iris,PART,0.3,0.7,0.967,0.949,0.051,0.033,0.05
iris,PART,0.3,0.75,0.967,0.949,0.051,0.033,0.05
iris,PART,0.3,0.8,0.96,0.939,0.061,0.043,0.066
iris,PART,0.3,0.9,0.953,0.929,0.071,0.045,0.068
iris,PART,0.3,1,0.947,0.919,0.081,0.051,0.077
iris,bayesglm,0.1,0.1,1,1,0,0,0
iris,bayesglm,0.1,0.2,1,1,0,0,0
iris,bayesglm,0.1,0.25,1,1,0,0,0
iris,bayesglm,0.1,0.3,1,1,0,0,0
iris,bayesglm,0.1,0.4,1,1,0,0,0
iris,bayesglm,0.1,0.5,1,1,0,0,0
iris,bayesglm,0.1,0.6,1,1,0,0,0
iris,bayesglm,0.1,0.7,1,1,0,0,0
iris,bayesglm,0.1,0.75,1,1,0,0,0
iris,bayesglm,0.1,0.8,1,1,0,0,0
iris,bayesglm,0.1,0.9,1,1,0,0,0
iris,bayesglm,0.1,1,1,1,0,0,0
iris,bayesglm,0.2,0.1,1,1,0,0,0
iris,bayesglm,0.2,0.2,1,1,0,0,0
iris,bayesglm,0.2,0.25,1,1,0,0,0
iris,bayesglm,0.2,0.3,1,1,0,0,0
iris,bayesglm,0.2,0.4,1,1,0,0,0
iris,bayesglm,0.2,0.5,1,1,0,0,0
iris,bayesglm,0.2,0.6,1,1,0,0,0
iris,bayesglm,0.2,0.7,1,1,0,0,0
iris,bayesglm,0.2,0.75,1,1,0,0,0
iris,bayesglm,0.2,0.8,1,1,0,0,0
iris,bayesglm,0.2,0.9,1,1,0,0,0
iris,bayesglm,0.2,1,1,1,0,0,0
iris,bayesglm,0.3,0.1,1,1,0,0,0
iris,bayesglm,0.3,0.2,1,1,0,0,0
iris,bayesglm,0.3,0.25,1,1,0,0,0
iris,bayesglm,0.3,0.3,1,1,0,0,0
iris,bayesglm,0.3,0.4,1,1,0,0,0
iris,bayesglm,0.3,0.5,1,1,0,0,0
iris,bayesglm,0.3,0.6,1,1,0,0,0
iris,bayesglm,0.3,0.7,1,1,0,0,0
iris,bayesglm,0.3,0.75,1,1,0,0,0
