"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","lvq",0.1,0.1,1,1
"vehicle","Fold_1","lvq",0.1,0.2,1,1
"vehicle","Fold_1","lvq",0.1,0.25,1,1
"vehicle","Fold_1","lvq",0.1,0.3,1,1
"vehicle","Fold_1","lvq",0.1,0.4,1,1
"vehicle","Fold_1","lvq",0.1,0.5,1,1
"vehicle","Fold_1","lvq",0.1,0.6,1,1
"vehicle","Fold_1","lvq",0.1,0.7,1,1
"vehicle","Fold_1","lvq",0.1,0.75,1,1
"vehicle","Fold_1","lvq",0.1,0.8,1,1
"vehicle","Fold_1","lvq",0.1,0.9,1,1
"vehicle","Fold_1","lvq",0.1,1,1,1
"vehicle","Fold_1","lvq",0.2,0.1,1,1
"vehicle","Fold_1","lvq",0.2,0.2,1,1
"vehicle","Fold_1","lvq",0.2,0.25,1,1
"vehicle","Fold_1","lvq",0.2,0.3,1,1
"vehicle","Fold_1","lvq",0.2,0.4,1,1
"vehicle","Fold_1","lvq",0.2,0.5,1,1
"vehicle","Fold_1","lvq",0.2,0.6,1,1
"vehicle","Fold_1","lvq",0.2,0.7,1,1
"vehicle","Fold_1","lvq",0.2,0.75,0.994152046783626,0.992041699632336
"vehicle","Fold_1","lvq",0.2,0.8,0.994152046783626,0.992041699632336
"vehicle","Fold_1","lvq",0.2,0.9,0.994152046783626,0.992041699632336
"vehicle","Fold_1","lvq",0.2,1,0.994152046783626,0.992041699632336
"vehicle","Fold_1","lvq",0.3,0.1,1,1
"vehicle","Fold_1","lvq",0.3,0.2,1,1
"vehicle","Fold_1","lvq",0.3,0.25,1,1
"vehicle","Fold_1","lvq",0.3,0.3,1,1
"vehicle","Fold_1","lvq",0.3,0.4,1,1
"vehicle","Fold_1","lvq",0.3,0.5,1,1
"vehicle","Fold_1","lvq",0.3,0.6,1,1
"vehicle","Fold_1","lvq",0.3,0.7,1,1
"vehicle","Fold_1","lvq",0.3,0.75,1,1
"vehicle","Fold_1","lvq",0.3,0.8,1,1
"vehicle","Fold_1","lvq",0.3,0.9,1,1
"vehicle","Fold_1","lvq",0.3,1,1,1
"vehicle","Fold_2","lvq",0.1,0.1,1,1
"vehicle","Fold_2","lvq",0.1,0.2,1,1
"vehicle","Fold_2","lvq",0.1,0.25,1,1
"vehicle","Fold_2","lvq",0.1,0.3,1,1
"vehicle","Fold_2","lvq",0.1,0.4,1,1
"vehicle","Fold_2","lvq",0.1,0.5,1,1
"vehicle","Fold_2","lvq",0.1,0.6,1,1
"vehicle","Fold_2","lvq",0.1,0.7,1,1
"vehicle","Fold_2","lvq",0.1,0.75,1,1
"vehicle","Fold_2","lvq",0.1,0.8,1,1
"vehicle","Fold_2","lvq",0.1,0.9,1,1
"vehicle","Fold_2","lvq",0.1,1,1,1
"vehicle","Fold_2","lvq",0.2,0.1,1,1
"vehicle","Fold_2","lvq",0.2,0.2,1,1
"vehicle","Fold_2","lvq",0.2,0.25,1,1
"vehicle","Fold_2","lvq",0.2,0.3,1,1
"vehicle","Fold_2","lvq",0.2,0.4,1,1
"vehicle","Fold_2","lvq",0.2,0.5,1,1
"vehicle","Fold_2","lvq",0.2,0.6,1,1
"vehicle","Fold_2","lvq",0.2,0.7,0.994047619047619,0.991758646063282
"vehicle","Fold_2","lvq",0.2,0.75,0.994047619047619,0.991758646063282
"vehicle","Fold_2","lvq",0.2,0.8,0.994047619047619,0.991758646063282
"vehicle","Fold_2","lvq",0.2,0.9,0.994047619047619,0.991758646063282
"vehicle","Fold_2","lvq",0.2,1,0.994047619047619,0.991758646063282
"vehicle","Fold_2","lvq",0.3,0.1,1,1
"vehicle","Fold_2","lvq",0.3,0.2,1,1
"vehicle","Fold_2","lvq",0.3,0.25,1,1
"vehicle","Fold_2","lvq",0.3,0.3,1,1
"vehicle","Fold_2","lvq",0.3,0.4,1,1
"vehicle","Fold_2","lvq",0.3,0.5,0.994047619047619,0.991765513184982
"vehicle","Fold_2","lvq",0.3,0.6,0.994047619047619,0.991765513184982
"vehicle","Fold_2","lvq",0.3,0.7,0.976190476190476,0.967002209673459
"vehicle","Fold_2","lvq",0.3,0.75,0.976190476190476,0.967002209673459
"vehicle","Fold_2","lvq",0.3,0.8,0.976190476190476,0.967002209673459
"vehicle","Fold_2","lvq",0.3,0.9,0.976190476190476,0.967002209673459
"vehicle","Fold_2","lvq",0.3,1,0.976190476190476,0.967002209673459
"vehicle","Fold_3","lvq",0.1,0.1,1,1
"vehicle","Fold_3","lvq",0.1,0.2,1,1
