dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
qsar-biodeg,C5.0,0.1,0.1,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.1,0.2,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.1,0.25,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.1,0.3,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.1,0.4,0.998,0.996,0.004,0.003,0.006
qsar-biodeg,C5.0,0.1,0.5,0.998,0.996,0.004,0.003,0.006
qsar-biodeg,C5.0,0.1,0.6,0.997,0.993,0.007,0.003,0.006
qsar-biodeg,C5.0,0.1,0.7,0.996,0.991,0.009,0.004,0.009
qsar-biodeg,C5.0,0.1,0.75,0.996,0.991,0.009,0.004,0.009
qsar-biodeg,C5.0,0.1,0.8,0.996,0.991,0.009,0.004,0.009
qsar-biodeg,C5.0,0.1,0.9,0.995,0.989,0.011,0.003,0.008
qsar-biodeg,C5.0,0.1,1,0.993,0.985,0.015,0.005,0.013
qsar-biodeg,C5.0,0.2,0.1,1,1,0,0,0
qsar-biodeg,C5.0,0.2,0.2,0.998,0.995,0.005,0.003,0.006
qsar-biodeg,C5.0,0.2,0.25,0.998,0.995,0.005,0.003,0.006
qsar-biodeg,C5.0,0.2,0.3,0.997,0.993,0.007,0.004,0.01
qsar-biodeg,C5.0,0.2,0.4,0.997,0.993,0.007,0.004,0.01
qsar-biodeg,C5.0,0.2,0.5,0.995,0.989,0.011,0.006,0.014
qsar-biodeg,C5.0,0.2,0.6,0.994,0.986,0.014,0.006,0.015
qsar-biodeg,C5.0,0.2,0.7,0.993,0.984,0.016,0.006,0.015
qsar-biodeg,C5.0,0.2,0.75,0.993,0.984,0.016,0.006,0.015
qsar-biodeg,C5.0,0.2,0.8,0.993,0.984,0.016,0.006,0.015
qsar-biodeg,C5.0,0.2,0.9,0.991,0.98,0.02,0.006,0.015
qsar-biodeg,C5.0,0.2,1,0.991,0.98,0.02,0.006,0.015
qsar-biodeg,C5.0,0.3,0.1,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.3,0.2,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,C5.0,0.3,0.25,0.998,0.995,0.005,0.003,0.006
qsar-biodeg,C5.0,0.3,0.3,0.997,0.993,0.007,0.003,0.006
qsar-biodeg,C5.0,0.3,0.4,0.995,0.989,0.011,0.003,0.008
qsar-biodeg,C5.0,0.3,0.5,0.992,0.982,0.018,0.004,0.01
qsar-biodeg,C5.0,0.3,0.6,0.99,0.975,0.025,0.006,0.015
qsar-biodeg,C5.0,0.3,0.7,0.988,0.97,0.03,0.008,0.019
qsar-biodeg,C5.0,0.3,0.75,0.987,0.968,0.032,0.006,0.015
qsar-biodeg,C5.0,0.3,0.8,0.987,0.968,0.032,0.006,0.015
qsar-biodeg,C5.0,0.3,0.9,0.984,0.962,0.038,0.006,0.015
qsar-biodeg,C5.0,0.3,1,0.982,0.957,0.043,0.005,0.012
qsar-biodeg,JRip,0.1,0.1,0.995,0.989,0.011,0.006,0.013
qsar-biodeg,JRip,0.1,0.2,0.992,0.982,0.018,0.006,0.015
qsar-biodeg,JRip,0.1,0.25,0.99,0.975,0.025,0.008,0.02
qsar-biodeg,JRip,0.1,0.3,0.989,0.973,0.027,0.01,0.024
qsar-biodeg,JRip,0.1,0.4,0.986,0.966,0.034,0.013,0.033
qsar-biodeg,JRip,0.1,0.5,0.986,0.966,0.034,0.013,0.033
qsar-biodeg,JRip,0.1,0.6,0.984,0.961,0.039,0.014,0.034
qsar-biodeg,JRip,0.1,0.7,0.983,0.959,0.041,0.014,0.035
qsar-biodeg,JRip,0.1,0.75,0.983,0.959,0.041,0.014,0.035
qsar-biodeg,JRip,0.1,0.8,0.983,0.959,0.041,0.014,0.035
qsar-biodeg,JRip,0.1,0.9,0.983,0.959,0.041,0.014,0.035
qsar-biodeg,JRip,0.1,1,0.98,0.952,0.048,0.017,0.044
qsar-biodeg,JRip,0.2,0.1,0.995,0.988,0.012,0.003,0.008
qsar-biodeg,JRip,0.2,0.2,0.992,0.981,0.019,0.005,0.012
qsar-biodeg,JRip,0.2,0.25,0.991,0.977,0.023,0.006,0.014
qsar-biodeg,JRip,0.2,0.3,0.99,0.974,0.026,0.006,0.016
qsar-biodeg,JRip,0.2,0.4,0.988,0.969,0.031,0.008,0.019
qsar-biodeg,JRip,0.2,0.5,0.985,0.963,0.037,0.01,0.024
qsar-biodeg,JRip,0.2,0.6,0.979,0.947,0.053,0.014,0.037
qsar-biodeg,JRip,0.2,0.7,0.973,0.934,0.066,0.018,0.043
qsar-biodeg,JRip,0.2,0.75,0.973,0.931,0.069,0.019,0.044
qsar-biodeg,JRip,0.2,0.8,0.972,0.929,0.071,0.019,0.046
qsar-biodeg,JRip,0.2,0.9,0.971,0.927,0.073,0.021,0.049
qsar-biodeg,JRip,0.2,1,0.968,0.92,0.08,0.023,0.054
qsar-biodeg,JRip,0.3,0.1,0.997,0.993,0.007,0.003,0.006
qsar-biodeg,JRip,0.3,0.2,0.997,0.993,0.007,0.003,0.006
qsar-biodeg,JRip,0.3,0.25,0.993,0.984,0.016,0.005,0.013
qsar-biodeg,JRip,0.3,0.3,0.991,0.977,0.023,0.007,0.018
qsar-biodeg,JRip,0.3,0.4,0.989,0.973,0.027,0.009,0.02
qsar-biodeg,JRip,0.3,0.5,0.987,0.969,0.031,0.008,0.019
qsar-biodeg,JRip,0.3,0.6,0.982,0.958,0.042,0.013,0.028
qsar-biodeg,JRip,0.3,0.7,0.978,0.95,0.05,0.017,0.036
qsar-biodeg,JRip,0.3,0.75,0.974,0.941,0.059,0.017,0.037
qsar-biodeg,JRip,0.3,0.8,0.973,0.937,0.063,0.019,0.041
qsar-biodeg,JRip,0.3,0.9,0.97,0.93,0.07,0.02,0.045
qsar-biodeg,JRip,0.3,1,0.968,0.925,0.075,0.023,0.05
qsar-biodeg,PART,0.1,0.1,0.994,0.987,0.013,0.005,0.012
qsar-biodeg,PART,0.1,0.2,0.991,0.978,0.022,0.007,0.017
qsar-biodeg,PART,0.1,0.25,0.989,0.974,0.026,0.009,0.02
qsar-biodeg,PART,0.1,0.3,0.988,0.972,0.028,0.01,0.023
qsar-biodeg,PART,0.1,0.4,0.985,0.965,0.035,0.012,0.029
qsar-biodeg,PART,0.1,0.5,0.984,0.963,0.037,0.011,0.027
qsar-biodeg,PART,0.1,0.6,0.983,0.961,0.039,0.011,0.026
qsar-biodeg,PART,0.1,0.7,0.981,0.956,0.044,0.012,0.029
qsar-biodeg,PART,0.1,0.75,0.979,0.952,0.048,0.012,0.029
qsar-biodeg,PART,0.1,0.8,0.979,0.952,0.048,0.012,0.029
qsar-biodeg,PART,0.1,0.9,0.976,0.945,0.055,0.015,0.037
qsar-biodeg,PART,0.1,1,0.975,0.943,0.057,0.016,0.038
qsar-biodeg,PART,0.2,0.1,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,PART,0.2,0.2,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,PART,0.2,0.25,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,PART,0.2,0.3,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,PART,0.2,0.4,0.998,0.996,0.004,0.004,0.01
qsar-biodeg,PART,0.2,0.5,0.998,0.996,0.004,0.004,0.01
qsar-biodeg,PART,0.2,0.6,0.998,0.996,0.004,0.004,0.01
qsar-biodeg,PART,0.2,0.7,0.998,0.996,0.004,0.004,0.01
qsar-biodeg,PART,0.2,0.75,0.997,0.993,0.007,0.004,0.01
qsar-biodeg,PART,0.2,0.8,0.995,0.989,0.011,0.008,0.019
qsar-biodeg,PART,0.2,0.9,0.991,0.98,0.02,0.011,0.026
qsar-biodeg,PART,0.2,1,0.991,0.98,0.02,0.011,0.026
qsar-biodeg,PART,0.3,0.1,0.996,0.991,0.009,0.004,0.01
qsar-biodeg,PART,0.3,0.2,0.995,0.989,0.011,0.006,0.014
qsar-biodeg,PART,0.3,0.25,0.995,0.989,0.011,0.006,0.014
qsar-biodeg,PART,0.3,0.3,0.995,0.989,0.011,0.006,0.014
qsar-biodeg,PART,0.3,0.4,0.995,0.989,0.011,0.006,0.014
qsar-biodeg,PART,0.3,0.5,0.993,0.984,0.016,0.008,0.019
qsar-biodeg,PART,0.3,0.6,0.992,0.982,0.018,0.007,0.018
qsar-biodeg,PART,0.3,0.7,0.991,0.98,0.02,0.008,0.019
qsar-biodeg,PART,0.3,0.75,0.991,0.978,0.022,0.009,0.023
qsar-biodeg,PART,0.3,0.8,0.99,0.976,0.024,0.01,0.025
qsar-biodeg,PART,0.3,0.9,0.987,0.969,0.031,0.014,0.034
qsar-biodeg,PART,0.3,1,0.985,0.965,0.035,0.017,0.039
qsar-biodeg,bayesglm,0.1,0.1,1,1,0,0,0
qsar-biodeg,bayesglm,0.1,0.2,1,1,0,0,0
qsar-biodeg,bayesglm,0.1,0.25,1,1,0,0,0
qsar-biodeg,bayesglm,0.1,0.3,1,1,0,0,0
qsar-biodeg,bayesglm,0.1,0.4,0.999,0.998,0.002,0.002,0.005
qsar-biodeg,bayesglm,0.1,0.5,0.998,0.996,0.004,0.003,0.006
qsar-biodeg,bayesglm,0.1,0.6,0.998,0.996,0.004,0.003,0.006
qsar-biodeg,bayesglm,0.1,0.7,0.998,0.996,0.004,0.003,0.006
qsar-biodeg,bayesglm,0.1,0.75,0.997,0.994,0.006,0.003,0.006
qsar-biodeg,bayesglm,0.1,0.8,0.996,0.991,0.009,0.004,0.009
qsar-biodeg,bayesglm,0.1,0.9,0.995,0.989,0.011,0.005,0.011
qsar-biodeg,bayesglm,0.1,1,0.993,0.985,0.015,0.003,0.006
qsar-biodeg,bayesglm,0.2,0.1,0.995,0.989,0.011,0.007,0.015
qsar-biodeg,bayesglm,0.2,0.2,0.994,0.987,0.013,0.006,0.014
