"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","C5.0",0.1,0.1,0.997,0.992890793103121
"waveform-5000","Fold_1","C5.0",0.1,0.2,0.995,0.988151321838536
"waveform-5000","Fold_1","C5.0",0.1,0.25,0.995,0.988151321838536
"waveform-5000","Fold_1","C5.0",0.1,0.3,0.993,0.98341185057395
"waveform-5000","Fold_1","C5.0",0.1,0.4,0.992,0.981059798949766
"waveform-5000","Fold_1","C5.0",0.1,0.5,0.991,0.978712131246807
"waveform-5000","Fold_1","C5.0",0.1,0.6,0.991,0.978712131246807
"waveform-5000","Fold_1","C5.0",0.1,0.7,0.991,0.978712131246807
"waveform-5000","Fold_1","C5.0",0.1,0.75,0.991,0.978712131246807
"waveform-5000","Fold_1","C5.0",0.1,0.8,0.991,0.978712131246807
"waveform-5000","Fold_1","C5.0",0.1,0.9,0.989,0.974029898669386
"waveform-5000","Fold_1","C5.0",0.1,1,0.987,0.969365055425684
"waveform-5000","Fold_1","C5.0",0.2,0.1,0.999,0.997634681249645
"waveform-5000","Fold_1","C5.0",0.2,0.2,0.996,0.990547534087955
"waveform-5000","Fold_1","C5.0",0.2,0.25,0.996,0.990547534087955
"waveform-5000","Fold_1","C5.0",0.2,0.3,0.996,0.990547534087955
"waveform-5000","Fold_1","C5.0",0.2,0.4,0.994,0.985821301131933
"waveform-5000","Fold_1","C5.0",0.2,0.5,0.993,0.983442768747516
"waveform-5000","Fold_1","C5.0",0.2,0.6,0.992,0.981059798949766
"waveform-5000","Fold_1","C5.0",0.2,0.7,0.989,0.973981493746097
"waveform-5000","Fold_1","C5.0",0.2,0.75,0.989,0.973981493746097
"waveform-5000","Fold_1","C5.0",0.2,0.8,0.987,0.969193436780193
"waveform-5000","Fold_1","C5.0",0.2,0.9,0.984,0.962190136351821
"waveform-5000","Fold_1","C5.0",0.2,1,0.979,0.950420715641556
"waveform-5000","Fold_1","C5.0",0.3,0.1,0.996,0.990512198940213
"waveform-5000","Fold_1","C5.0",0.3,0.2,0.992,0.980988864227221
"waveform-5000","Fold_1","C5.0",0.3,0.25,0.992,0.980988864227221
"waveform-5000","Fold_1","C5.0",0.3,0.3,0.992,0.980988864227221
"waveform-5000","Fold_1","C5.0",0.3,0.4,0.986,0.966916369307843
"waveform-5000","Fold_1","C5.0",0.3,0.5,0.985,0.964586225458254
"waveform-5000","Fold_1","C5.0",0.3,0.6,0.985,0.964586225458254
"waveform-5000","Fold_1","C5.0",0.3,0.7,0.981,0.955225850237539
"waveform-5000","Fold_1","C5.0",0.3,0.75,0.981,0.955225850237539
"waveform-5000","Fold_1","C5.0",0.3,0.8,0.977,0.94559766874184
"waveform-5000","Fold_1","C5.0",0.3,0.9,0.971,0.931533369219292
"waveform-5000","Fold_1","C5.0",0.3,1,0.968,0.924520825176079
"waveform-5000","Fold_2","C5.0",0.1,0.1,0.998998998998999,0.997547918676318
"waveform-5000","Fold_2","C5.0",0.1,0.2,0.996996996996997,0.99265921566034
"waveform-5000","Fold_2","C5.0",0.1,0.25,0.996996996996997,0.99265921566034
"waveform-5000","Fold_2","C5.0",0.1,0.3,0.995995995995996,0.990222561512714
"waveform-5000","Fold_2","C5.0",0.1,0.4,0.995995995995996,0.990222561512714
"waveform-5000","Fold_2","C5.0",0.1,0.5,0.992992992992993,0.98287150320746
"waveform-5000","Fold_2","C5.0",0.1,0.6,0.990990990990991,0.977931268086861
"waveform-5000","Fold_2","C5.0",0.1,0.7,0.988988988988989,0.973027105439497
"waveform-5000","Fold_2","C5.0",0.1,0.75,0.988988988988989,0.973027105439497
"waveform-5000","Fold_2","C5.0",0.1,0.8,0.988988988988989,0.973027105439497
"waveform-5000","Fold_2","C5.0",0.1,0.9,0.988988988988989,0.973027105439497
"waveform-5000","Fold_2","C5.0",0.1,1,0.987987987987988,0.970544007076515
"waveform-5000","Fold_2","C5.0",0.2,0.1,0.998998998998999,0.997629235161362
"waveform-5000","Fold_2","C5.0",0.2,0.2,0.995995995995996,0.990508088078102
"waveform-5000","Fold_2","C5.0",0.2,0.25,0.993993993993994,0.985735499900049
"waveform-5000","Fold_2","C5.0",0.2,0.3,0.992992992992993,0.983342504126857
"waveform-5000","Fold_2","C5.0",0.2,0.4,0.991991991991992,0.98094502381872
"waveform-5000","Fold_2","C5.0",0.2,0.5,0.987987987987988,0.971470999800097
"waveform-5000","Fold_2","C5.0",0.2,0.6,0.986986986986987,0.969064650521306
"waveform-5000","Fold_2","C5.0",0.2,0.7,0.982982982982983,0.959470198675497
"waveform-5000","Fold_2","C5.0",0.2,0.75,0.982982982982983,0.959470198675497
"waveform-5000","Fold_2","C5.0",0.2,0.8,0.981981981981982,0.95712630359212
"waveform-5000","Fold_2","C5.0",0.2,0.9,0.97997997997998,0.952362559546801
"waveform-5000","Fold_2","C5.0",0.2,1,0.97997997997998,0.952362559546801
"waveform-5000","Fold_2","C5.0",0.3,0.1,0.998998998998999,0.997547918676318
"waveform-5000","Fold_2","C5.0",0.3,0.2,0.996996996996997,0.99265921566034
"waveform-5000","Fold_2","C5.0",0.3,0.25,0.993993993993994,0.985333842269071
"waveform-5000","Fold_2","C5.0",0.3,0.3,0.992992992992993,0.982907424381302
"waveform-5000","Fold_2","C5.0",0.3,0.4,0.990990990990991,0.97797764698102
"waveform-5000","Fold_2","C5.0",0.3,0.5,0.988988988988989,0.97308379075458
"waveform-5000","Fold_2","C5.0",0.3,0.6,0.988988988988989,0.97308379075458
"waveform-5000","Fold_2","C5.0",0.3,0.7,0.985985985985986,0.965706971885896
"waveform-5000","Fold_2","C5.0",0.3,0.75,0.985985985985986,0.965706971885896
"waveform-5000","Fold_2","C5.0",0.3,0.8,0.983983983983984,0.960807967869595
"waveform-5000","Fold_2","C5.0",0.3,0.9,0.980980980980981,0.953508365848819
"waveform-5000","Fold_2","C5.0",0.3,1,0.978978978978979,0.94861450962238
"waveform-5000","Fold_3","C5.0",0.1,0.1,0.997,0.993042413447623
"waveform-5000","Fold_3","C5.0",0.1,0.2,0.996,0.990715293768105
"waveform-5000","Fold_3","C5.0",0.1,0.25,0.996,0.990715293768105
"waveform-5000","Fold_3","C5.0",0.1,0.3,0.996,0.990715293768105
"waveform-5000","Fold_3","C5.0",0.1,0.4,0.995,0.988384195071182
"waveform-5000","Fold_3","C5.0",0.1,0.5,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,0.6,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,0.7,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,0.75,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,0.8,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,0.9,0.992,0.98143058753621
"waveform-5000","Fold_3","C5.0",0.1,1,0.991,0.979091551128127
"waveform-5000","Fold_3","C5.0",0.2,0.1,0.996,0.990746909467762
"waveform-5000","Fold_3","C5.0",0.2,0.2,0.995,0.988423782181886
"waveform-5000","Fold_3","C5.0",0.2,0.25,0.995,0.988423782181886
"waveform-5000","Fold_3","C5.0",0.2,0.3,0.995,0.988423782181886
