dataset,fold,method,noise_levels,instance_level,accuracy,kappa
breast-w,Fold_1,bayesglm,0.7,0.6,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.7,0.7,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.7,0.75,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.7,0.8,0.978102189781022,0.952125800815376
breast-w,Fold_1,bayesglm,0.7,0.9,0.978102189781022,0.952125800815376
breast-w,Fold_1,bayesglm,0.7,1,0.970802919708029,0.935876433419144
breast-w,Fold_1,bayesglm,0.8,0.1,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.2,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.25,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.3,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.4,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.5,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.6,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.7,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.75,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.8,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,0.9,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.8,1,0.978102189781022,0.952125800815376
breast-w,Fold_1,bayesglm,0.9,0.1,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.9,0.2,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.9,0.25,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.9,0.3,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.9,0.4,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.9,0.5,0.985401459854015,0.968228200371058
breast-w,Fold_1,bayesglm,0.9,0.6,0.978102189781022,0.952556850975413
breast-w,Fold_1,bayesglm,0.9,0.7,0.978102189781022,0.952556850975413
breast-w,Fold_1,bayesglm,0.9,0.75,0.978102189781022,0.952556850975413
breast-w,Fold_1,bayesglm,0.9,0.8,0.978102189781022,0.952556850975413
breast-w,Fold_1,bayesglm,0.9,0.9,0.978102189781022,0.952556850975413
breast-w,Fold_1,bayesglm,0.9,1,0.970802919708029,0.936456400742115
breast-w,Fold_1,bayesglm,1,0.1,1,1
breast-w,Fold_1,bayesglm,1,0.2,1,1
breast-w,Fold_1,bayesglm,1,0.25,1,1
breast-w,Fold_1,bayesglm,1,0.3,1,1
breast-w,Fold_1,bayesglm,1,0.4,1,1
breast-w,Fold_1,bayesglm,1,0.5,1,1
breast-w,Fold_1,bayesglm,1,0.6,1,1
breast-w,Fold_1,bayesglm,1,0.7,1,1
breast-w,Fold_1,bayesglm,1,0.75,1,1
breast-w,Fold_1,bayesglm,1,0.8,1,1
breast-w,Fold_1,bayesglm,1,0.9,1,1
breast-w,Fold_1,bayesglm,1,1,0.992700729927007,0.984041933605125
breast-w,Fold_2,bayesglm,0.1,0.1,1,1
breast-w,Fold_2,bayesglm,0.1,0.2,1,1
breast-w,Fold_2,bayesglm,0.1,0.25,1,1
breast-w,Fold_2,bayesglm,0.1,0.3,1,1
breast-w,Fold_2,bayesglm,0.1,0.4,1,1
breast-w,Fold_2,bayesglm,0.1,0.5,1,1
breast-w,Fold_2,bayesglm,0.1,0.6,1,1
breast-w,Fold_2,bayesglm,0.1,0.7,1,1
breast-w,Fold_2,bayesglm,0.1,0.75,1,1
breast-w,Fold_2,bayesglm,0.1,0.8,1,1
breast-w,Fold_2,bayesglm,0.1,0.9,1,1
breast-w,Fold_2,bayesglm,0.1,1,1,1
breast-w,Fold_2,bayesglm,0.2,0.1,1,1
breast-w,Fold_2,bayesglm,0.2,0.2,1,1
breast-w,Fold_2,bayesglm,0.2,0.25,1,1
breast-w,Fold_2,bayesglm,0.2,0.3,1,1
breast-w,Fold_2,bayesglm,0.2,0.4,1,1
breast-w,Fold_2,bayesglm,0.2,0.5,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.2,0.6,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.2,0.7,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.2,0.75,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.2,0.8,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.2,0.9,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.2,1,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.3,0.1,1,1
breast-w,Fold_2,bayesglm,0.3,0.2,1,1
breast-w,Fold_2,bayesglm,0.3,0.25,1,1
breast-w,Fold_2,bayesglm,0.3,0.3,1,1
breast-w,Fold_2,bayesglm,0.3,0.4,1,1
breast-w,Fold_2,bayesglm,0.3,0.5,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.3,0.6,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.3,0.7,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.3,0.75,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.3,0.8,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.3,0.9,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.3,1,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.4,0.1,1,1
breast-w,Fold_2,bayesglm,0.4,0.2,1,1
breast-w,Fold_2,bayesglm,0.4,0.25,1,1
breast-w,Fold_2,bayesglm,0.4,0.3,1,1
breast-w,Fold_2,bayesglm,0.4,0.4,1,1
breast-w,Fold_2,bayesglm,0.4,0.5,1,1
breast-w,Fold_2,bayesglm,0.4,0.6,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.4,0.7,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.4,0.75,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.4,0.8,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.4,0.9,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.4,1,0.985294117647059,0.966788766788767
breast-w,Fold_2,bayesglm,0.5,0.1,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.2,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.25,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.3,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.4,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.5,0.992647058823529,0.983487129674599
breast-w,Fold_2,bayesglm,0.5,0.6,0.985294117647059,0.967157691378894
breast-w,Fold_2,bayesglm,0.5,0.7,0.977941176470588,0.950461389023798
breast-w,Fold_2,bayesglm,0.5,0.75,0.977941176470588,0.950461389023798
breast-w,Fold_2,bayesglm,0.5,0.8,0.977941176470588,0.950461389023798
breast-w,Fold_2,bayesglm,0.5,0.9,0.977941176470588,0.950461389023798
breast-w,Fold_2,bayesglm,0.5,1,0.977941176470588,0.950461389023798
breast-w,Fold_2,bayesglm,0.6,0.1,1,1
breast-w,Fold_2,bayesglm,0.6,0.2,1,1
breast-w,Fold_2,bayesglm,0.6,0.25,1,1
breast-w,Fold_2,bayesglm,0.6,0.3,1,1
breast-w,Fold_2,bayesglm,0.6,0.4,1,1
breast-w,Fold_2,bayesglm,0.6,0.5,0.992647058823529,0.983487129674599
