"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"monks-problems-2","Fold_1","multinom",0.1,0.1,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.2,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.25,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.3,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.4,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.5,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.6,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.7,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.75,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.8,1,1
"monks-problems-2","Fold_1","multinom",0.1,0.9,1,1
"monks-problems-2","Fold_1","multinom",0.1,1,1,1
"monks-problems-2","Fold_1","multinom",0.2,0.1,1,1
"monks-problems-2","Fold_1","multinom",0.2,0.2,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.2,0.25,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.2,0.3,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.2,0.4,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.2,0.5,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,0.6,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,0.7,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,0.75,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,0.8,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,0.9,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.2,1,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.3,0.1,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.2,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.25,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.3,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.4,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.5,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.6,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.7,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.75,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.8,1,1
"monks-problems-2","Fold_1","multinom",0.3,0.9,1,1
"monks-problems-2","Fold_1","multinom",0.3,1,1,1
"monks-problems-2","Fold_1","multinom",0.4,0.1,1,1
"monks-problems-2","Fold_1","multinom",0.4,0.2,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.25,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.3,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.4,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.5,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.6,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.7,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.75,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.8,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,0.9,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.4,1,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.1,1,1
"monks-problems-2","Fold_1","multinom",0.5,0.2,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.25,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.3,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.4,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.5,0.991666666666667,0.884615384615385
"monks-problems-2","Fold_1","multinom",0.5,0.6,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.5,0.7,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.5,0.75,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.5,0.8,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.5,0.9,0.983333333333333,0.741935483870966
"monks-problems-2","Fold_1","multinom",0.5,1,0.983333333333333,0.741935483870966
