dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
iris,C5.0,0.1,0.1,0.993,0.99,0.01,0.015,0.022
iris,C5.0,0.1,0.2,0.993,0.99,0.01,0.015,0.022
iris,C5.0,0.1,0.25,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.3,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.4,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.5,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.6,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.7,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.75,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.8,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,0.9,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.1,1,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.2,0.1,1,1,0,0,0
iris,C5.0,0.2,0.2,1,1,0,0,0
iris,C5.0,0.2,0.25,1,1,0,0,0
iris,C5.0,0.2,0.3,1,1,0,0,0
iris,C5.0,0.2,0.4,0.993,0.99,0.01,0.015,0.022
iris,C5.0,0.2,0.5,0.993,0.99,0.01,0.015,0.022
iris,C5.0,0.2,0.6,0.987,0.98,0.02,0.018,0.027
iris,C5.0,0.2,0.7,0.967,0.949,0.051,0.033,0.051
iris,C5.0,0.2,0.75,0.967,0.949,0.051,0.033,0.051
iris,C5.0,0.2,0.8,0.96,0.939,0.061,0.043,0.066
iris,C5.0,0.2,0.9,0.96,0.939,0.061,0.043,0.066
iris,C5.0,0.2,1,0.96,0.939,0.061,0.043,0.066
iris,C5.0,0.3,0.1,0.993,0.99,0.01,0.015,0.022
iris,C5.0,0.3,0.2,0.987,0.98,0.02,0.03,0.045
iris,C5.0,0.3,0.25,0.967,0.95,0.05,0.058,0.086
iris,C5.0,0.3,0.3,0.967,0.95,0.05,0.058,0.086
iris,C5.0,0.3,0.4,0.96,0.94,0.06,0.055,0.082
iris,C5.0,0.3,0.5,0.947,0.92,0.08,0.051,0.075
iris,C5.0,0.3,0.6,0.933,0.899,0.101,0.047,0.07
iris,C5.0,0.3,0.7,0.907,0.859,0.141,0.064,0.096
iris,C5.0,0.3,0.75,0.907,0.859,0.141,0.064,0.096
iris,C5.0,0.3,0.8,0.907,0.859,0.141,0.064,0.096
iris,C5.0,0.3,0.9,0.907,0.859,0.141,0.064,0.096
iris,C5.0,0.3,1,0.9,0.848,0.152,0.067,0.101
iris,C5.0,0.4,0.1,0.98,0.97,0.03,0.03,0.045
iris,C5.0,0.4,0.2,0.947,0.919,0.081,0.038,0.057
iris,C5.0,0.4,0.25,0.933,0.898,0.102,0.047,0.072
iris,C5.0,0.4,0.3,0.933,0.898,0.102,0.047,0.072
iris,C5.0,0.4,0.4,0.927,0.889,0.111,0.055,0.083
iris,C5.0,0.4,0.5,0.92,0.878,0.122,0.061,0.091
iris,C5.0,0.4,0.6,0.907,0.859,0.141,0.08,0.119
iris,C5.0,0.4,0.7,0.907,0.859,0.141,0.08,0.119
iris,C5.0,0.4,0.75,0.907,0.859,0.141,0.08,0.119
iris,C5.0,0.4,0.8,0.893,0.838,0.162,0.076,0.114
iris,C5.0,0.4,0.9,0.873,0.808,0.192,0.101,0.152
iris,C5.0,0.4,1,0.86,0.788,0.212,0.109,0.164
iris,C5.0,0.5,0.1,0.973,0.96,0.04,0.015,0.023
iris,C5.0,0.5,0.2,0.973,0.96,0.04,0.015,0.023
iris,C5.0,0.5,0.25,0.953,0.93,0.07,0.03,0.045
iris,C5.0,0.5,0.3,0.953,0.93,0.07,0.03,0.045
iris,C5.0,0.5,0.4,0.94,0.91,0.09,0.049,0.073
iris,C5.0,0.5,0.5,0.927,0.89,0.11,0.06,0.089
iris,C5.0,0.5,0.6,0.907,0.86,0.14,0.076,0.113
iris,C5.0,0.5,0.7,0.9,0.85,0.15,0.088,0.132
iris,C5.0,0.5,0.75,0.887,0.83,0.17,0.099,0.147
iris,C5.0,0.5,0.8,0.88,0.82,0.18,0.099,0.147
iris,C5.0,0.5,0.9,0.88,0.82,0.18,0.099,0.147
iris,C5.0,0.5,1,0.86,0.789,0.211,0.095,0.142
iris,C5.0,0.6,0.1,0.98,0.97,0.03,0.03,0.045
iris,C5.0,0.6,0.2,0.973,0.96,0.04,0.043,0.066
iris,C5.0,0.6,0.25,0.967,0.95,0.05,0.047,0.071
iris,C5.0,0.6,0.3,0.96,0.94,0.06,0.043,0.066
iris,C5.0,0.6,0.4,0.92,0.879,0.121,0.061,0.092
iris,C5.0,0.6,0.5,0.893,0.837,0.163,0.076,0.117
iris,C5.0,0.6,0.6,0.86,0.787,0.213,0.092,0.14
iris,C5.0,0.6,0.7,0.84,0.757,0.243,0.123,0.187
iris,C5.0,0.6,0.75,0.84,0.757,0.243,0.123,0.187
iris,C5.0,0.6,0.8,0.833,0.747,0.253,0.125,0.189
iris,C5.0,0.6,0.9,0.813,0.717,0.283,0.126,0.191
iris,C5.0,0.6,1,0.787,0.676,0.324,0.135,0.204
iris,C5.0,0.7,0.1,0.967,0.95,0.05,0.024,0.035
iris,C5.0,0.7,0.2,0.94,0.909,0.091,0.055,0.083
iris,C5.0,0.7,0.25,0.927,0.889,0.111,0.049,0.075
iris,C5.0,0.7,0.3,0.92,0.879,0.121,0.051,0.076
iris,C5.0,0.7,0.4,0.873,0.809,0.191,0.086,0.129
iris,C5.0,0.7,0.5,0.847,0.768,0.232,0.09,0.136
iris,C5.0,0.7,0.6,0.82,0.729,0.271,0.112,0.168
iris,C5.0,0.7,0.7,0.8,0.698,0.302,0.125,0.188
iris,C5.0,0.7,0.75,0.8,0.698,0.302,0.125,0.188
iris,C5.0,0.7,0.8,0.787,0.677,0.323,0.13,0.198
iris,C5.0,0.7,0.9,0.787,0.677,0.323,0.13,0.198
iris,C5.0,0.7,1,0.773,0.657,0.343,0.138,0.209
iris,C5.0,0.8,0.1,0.973,0.96,0.04,0.015,0.023
iris,C5.0,0.8,0.2,0.96,0.939,0.061,0.028,0.043
iris,C5.0,0.8,0.25,0.94,0.909,0.091,0.037,0.056
iris,C5.0,0.8,0.3,0.927,0.889,0.111,0.049,0.076
iris,C5.0,0.8,0.4,0.9,0.848,0.152,0.067,0.102
iris,C5.0,0.8,0.5,0.86,0.786,0.214,0.092,0.143
iris,C5.0,0.8,0.6,0.847,0.766,0.234,0.099,0.153
iris,C5.0,0.8,0.7,0.827,0.735,0.265,0.112,0.173
iris,C5.0,0.8,0.75,0.813,0.715,0.285,0.117,0.18
iris,C5.0,0.8,0.8,0.8,0.696,0.304,0.125,0.191
iris,C5.0,0.8,0.9,0.78,0.665,0.335,0.139,0.214
iris,C5.0,0.8,1,0.747,0.614,0.386,0.161,0.248
iris,C5.0,0.9,0.1,0.96,0.94,0.06,0.028,0.042
iris,C5.0,0.9,0.2,0.933,0.899,0.101,0.041,0.062
iris,C5.0,0.9,0.25,0.913,0.869,0.131,0.051,0.076
iris,C5.0,0.9,0.3,0.893,0.84,0.16,0.064,0.096
iris,C5.0,0.9,0.4,0.873,0.81,0.19,0.08,0.119
iris,C5.0,0.9,0.5,0.847,0.769,0.231,0.104,0.158
iris,C5.0,0.9,0.6,0.82,0.727,0.273,0.112,0.171
iris,C5.0,0.9,0.7,0.8,0.698,0.302,0.122,0.186
iris,C5.0,0.9,0.75,0.793,0.688,0.312,0.126,0.19
iris,C5.0,0.9,0.8,0.787,0.678,0.322,0.126,0.191
iris,C5.0,0.9,0.9,0.767,0.648,0.352,0.147,0.222
iris,C5.0,0.9,1,0.74,0.608,0.392,0.153,0.232
iris,C5.0,1,0.1,0.96,0.94,0.06,0.028,0.042
iris,C5.0,1,0.2,0.94,0.91,0.09,0.037,0.055
iris,C5.0,1,0.25,0.92,0.879,0.121,0.051,0.077
iris,C5.0,1,0.3,0.92,0.879,0.121,0.051,0.077
iris,C5.0,1,0.4,0.9,0.849,0.151,0.067,0.101
iris,C5.0,1,0.5,0.893,0.839,0.161,0.076,0.115
iris,C5.0,1,0.6,0.867,0.8,0.2,0.078,0.118
iris,C5.0,1,0.7,0.847,0.769,0.231,0.087,0.131
iris,C5.0,1,0.75,0.833,0.749,0.251,0.094,0.143
iris,C5.0,1,0.8,0.827,0.738,0.262,0.101,0.154
iris,C5.0,1,0.9,0.8,0.699,0.301,0.122,0.185
iris,C5.0,1,1,0.787,0.678,0.322,0.135,0.204
iris,JRip,0.1,0.1,1,1,0,0,0
iris,JRip,0.1,0.2,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.25,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.3,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.4,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.5,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.6,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.7,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.75,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.8,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.1,0.9,0.987,0.98,0.02,0.018,0.028
iris,JRip,0.1,1,0.98,0.97,0.03,0.03,0.045
iris,JRip,0.2,0.1,0.993,0.99,0.01,0.015,0.023
iris,JRip,0.2,0.2,0.98,0.97,0.03,0.018,0.028
iris,JRip,0.2,0.25,0.973,0.959,0.041,0.028,0.043
iris,JRip,0.2,0.3,0.973,0.959,0.041,0.028,0.043
iris,JRip,0.2,0.4,0.973,0.959,0.041,0.028,0.043
iris,JRip,0.2,0.5,0.967,0.949,0.051,0.024,0.036
iris,JRip,0.2,0.6,0.967,0.949,0.051,0.024,0.036
iris,JRip,0.2,0.7,0.967,0.949,0.051,0.024,0.036
iris,JRip,0.2,0.75,0.967,0.949,0.051,0.024,0.036
iris,JRip,0.2,0.8,0.967,0.949,0.051,0.024,0.036
iris,JRip,0.2,0.9,0.953,0.929,0.071,0.051,0.077
iris,JRip,0.2,1,0.94,0.909,0.091,0.08,0.121
iris,JRip,0.3,0.1,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.3,0.2,0.987,0.98,0.02,0.018,0.028
iris,JRip,0.3,0.25,0.98,0.97,0.03,0.03,0.045
iris,JRip,0.3,0.3,0.98,0.97,0.03,0.03,0.045
iris,JRip,0.3,0.4,0.98,0.97,0.03,0.03,0.045
iris,JRip,0.3,0.5,0.973,0.96,0.04,0.043,0.066
iris,JRip,0.3,0.6,0.967,0.95,0.05,0.058,0.087
iris,JRip,0.3,0.7,0.96,0.939,0.061,0.06,0.09
iris,JRip,0.3,0.75,0.96,0.939,0.061,0.06,0.09
iris,JRip,0.3,0.8,0.96,0.939,0.061,0.06,0.09
iris,JRip,0.3,0.9,0.953,0.929,0.071,0.073,0.111
iris,JRip,0.3,1,0.933,0.898,0.102,0.078,0.119
iris,JRip,0.4,0.1,0.987,0.98,0.02,0.03,0.045
iris,JRip,0.4,0.2,0.96,0.94,0.06,0.043,0.065
iris,JRip,0.4,0.25,0.96,0.94,0.06,0.043,0.065
iris,JRip,0.4,0.3,0.953,0.929,0.071,0.051,0.077
iris,JRip,0.4,0.4,0.953,0.929,0.071,0.051,0.077
iris,JRip,0.4,0.5,0.94,0.909,0.091,0.055,0.083
iris,JRip,0.4,0.6,0.933,0.899,0.101,0.053,0.08
iris,JRip,0.4,0.7,0.9,0.849,0.151,0.071,0.107
iris,JRip,0.4,0.75,0.9,0.849,0.151,0.071,0.107
iris,JRip,0.4,0.8,0.887,0.828,0.172,0.077,0.117
iris,JRip,0.4,0.9,0.873,0.807,0.193,0.092,0.141
iris,JRip,0.4,1,0.86,0.786,0.214,0.114,0.175
iris,JRip,0.5,0.1,0.973,0.96,0.04,0.015,0.023
iris,JRip,0.5,0.2,0.953,0.929,0.071,0.018,0.027
iris,JRip,0.5,0.25,0.953,0.929,0.071,0.018,0.027
iris,JRip,0.5,0.3,0.953,0.929,0.071,0.018,0.027
iris,JRip,0.5,0.4,0.947,0.919,0.081,0.018,0.027
iris,JRip,0.5,0.5,0.94,0.909,0.091,0.028,0.042
iris,JRip,0.5,0.6,0.927,0.889,0.111,0.015,0.022
iris,JRip,0.5,0.7,0.9,0.849,0.151,0,0.002
iris,JRip,0.5,0.75,0.9,0.849,0.151,0,0.002
iris,JRip,0.5,0.8,0.893,0.838,0.162,0.015,0.025
iris,JRip,0.5,0.9,0.887,0.828,0.172,0.018,0.029
iris,JRip,0.5,1,0.853,0.777,0.223,0.045,0.071
iris,JRip,0.6,0.1,0.993,0.99,0.01,0.015,0.022
iris,JRip,0.6,0.2,0.987,0.98,0.02,0.018,0.027
iris,JRip,0.6,0.25,0.98,0.97,0.03,0.018,0.027
iris,JRip,0.6,0.3,0.973,0.96,0.04,0.015,0.023
iris,JRip,0.6,0.4,0.953,0.929,0.071,0.018,0.028
iris,JRip,0.6,0.5,0.927,0.889,0.111,0.028,0.042
iris,JRip,0.6,0.6,0.927,0.889,0.111,0.028,0.042
iris,JRip,0.6,0.7,0.92,0.879,0.121,0.03,0.046
iris,JRip,0.6,0.75,0.92,0.879,0.121,0.03,0.046
iris,JRip,0.6,0.8,0.907,0.859,0.141,0.037,0.055
iris,JRip,0.6,0.9,0.893,0.839,0.161,0.049,0.074
iris,JRip,0.6,1,0.86,0.788,0.212,0.064,0.097
iris,JRip,0.7,0.1,0.98,0.97,0.03,0.03,0.045
iris,JRip,0.7,0.2,0.953,0.929,0.071,0.038,0.058
iris,JRip,0.7,0.25,0.94,0.909,0.091,0.055,0.083
iris,JRip,0.7,0.3,0.94,0.909,0.091,0.055,0.083
iris,JRip,0.7,0.4,0.933,0.898,0.102,0.053,0.08
iris,JRip,0.7,0.5,0.92,0.878,0.122,0.069,0.105
iris,JRip,0.7,0.6,0.913,0.868,0.132,0.065,0.098
iris,JRip,0.7,0.7,0.907,0.858,0.142,0.076,0.115
iris,JRip,0.7,0.75,0.9,0.847,0.153,0.075,0.113
iris,JRip,0.7,0.8,0.9,0.847,0.153,0.075,0.113
iris,JRip,0.7,0.9,0.88,0.816,0.184,0.084,0.127
iris,JRip,0.7,1,0.88,0.816,0.184,0.084,0.127
iris,JRip,0.8,0.1,0.98,0.97,0.03,0.018,0.028
iris,JRip,0.8,0.2,0.96,0.94,0.06,0.028,0.042
iris,JRip,0.8,0.25,0.953,0.93,0.07,0.038,0.057
iris,JRip,0.8,0.3,0.953,0.93,0.07,0.038,0.057
iris,JRip,0.8,0.4,0.94,0.909,0.091,0.028,0.042
iris,JRip,0.8,0.5,0.907,0.859,0.141,0.043,0.066
iris,JRip,0.8,0.6,0.873,0.808,0.192,0.043,0.067
iris,JRip,0.8,0.7,0.847,0.768,0.232,0.051,0.077
iris,JRip,0.8,0.75,0.84,0.758,0.242,0.055,0.083
iris,JRip,0.8,0.8,0.833,0.747,0.253,0.047,0.071
iris,JRip,0.8,0.9,0.813,0.716,0.284,0.045,0.067
iris,JRip,0.8,1,0.78,0.663,0.337,0.018,0.032
iris,JRip,0.9,0.1,0.96,0.939,0.061,0.028,0.043
iris,JRip,0.9,0.2,0.92,0.878,0.122,0.045,0.068
iris,JRip,0.9,0.25,0.913,0.868,0.132,0.051,0.077
iris,JRip,0.9,0.3,0.907,0.858,0.142,0.043,0.066
iris,JRip,0.9,0.4,0.893,0.838,0.162,0.028,0.042
iris,JRip,0.9,0.5,0.86,0.787,0.213,0.049,0.076
iris,JRip,0.9,0.6,0.853,0.777,0.223,0.061,0.093
iris,JRip,0.9,0.7,0.84,0.757,0.243,0.086,0.132
iris,JRip,0.9,0.75,0.84,0.757,0.243,0.086,0.132
iris,JRip,0.9,0.8,0.833,0.746,0.254,0.085,0.13
iris,JRip,0.9,0.9,0.813,0.716,0.284,0.112,0.172
iris,JRip,0.9,1,0.78,0.664,0.336,0.112,0.171
iris,JRip,1,0.1,0.987,0.98,0.02,0.018,0.028
iris,JRip,1,0.2,0.973,0.96,0.04,0.028,0.042
iris,JRip,1,0.25,0.953,0.929,0.071,0.038,0.058
iris,JRip,1,0.3,0.947,0.919,0.081,0.038,0.058
iris,JRip,1,0.4,0.927,0.888,0.112,0.037,0.055
iris,JRip,1,0.5,0.887,0.827,0.173,0.051,0.077
iris,JRip,1,0.6,0.867,0.796,0.204,0.062,0.094
iris,JRip,1,0.7,0.827,0.736,0.264,0.064,0.097
iris,JRip,1,0.75,0.827,0.736,0.264,0.064,0.097
iris,JRip,1,0.8,0.813,0.715,0.285,0.077,0.116
iris,JRip,1,0.9,0.793,0.684,0.316,0.08,0.121
iris,JRip,1,1,0.767,0.644,0.356,0.1,0.152
iris,PART,0.1,0.1,1,1,0,0,0
iris,PART,0.1,0.2,0.993,0.99,0.01,0.015,0.023
iris,PART,0.1,0.25,0.993,0.99,0.01,0.015,0.023
iris,PART,0.1,0.3,0.993,0.99,0.01,0.015,0.023
iris,PART,0.1,0.4,0.987,0.98,0.02,0.018,0.027
iris,PART,0.1,0.5,0.98,0.97,0.03,0.03,0.045
iris,PART,0.1,0.6,0.973,0.96,0.04,0.028,0.042
iris,PART,0.1,0.7,0.973,0.96,0.04,0.028,0.042
iris,PART,0.1,0.75,0.973,0.96,0.04,0.028,0.042
iris,PART,0.1,0.8,0.973,0.96,0.04,0.028,0.042
iris,PART,0.1,0.9,0.973,0.96,0.04,0.028,0.042
iris,PART,0.1,1,0.973,0.96,0.04,0.028,0.042
iris,PART,0.2,0.1,0.993,0.99,0.01,0.015,0.023
iris,PART,0.2,0.2,0.993,0.99,0.01,0.015,0.023
iris,PART,0.2,0.25,0.993,0.99,0.01,0.015,0.023
iris,PART,0.2,0.3,0.987,0.98,0.02,0.018,0.028
iris,PART,0.2,0.4,0.987,0.98,0.02,0.018,0.028
iris,PART,0.2,0.5,0.973,0.96,0.04,0.015,0.023
iris,PART,0.2,0.6,0.967,0.949,0.051,0.024,0.037
iris,PART,0.2,0.7,0.96,0.939,0.061,0.028,0.043
iris,PART,0.2,0.75,0.953,0.929,0.071,0.03,0.045
iris,PART,0.2,0.8,0.947,0.918,0.082,0.038,0.059
iris,PART,0.2,0.9,0.947,0.918,0.082,0.038,0.059
iris,PART,0.2,1,0.947,0.918,0.082,0.038,0.059
iris,PART,0.3,0.1,0.987,0.98,0.02,0.018,0.028
iris,PART,0.3,0.2,0.973,0.959,0.041,0.028,0.043
iris,PART,0.3,0.25,0.973,0.959,0.041,0.028,0.043
iris,PART,0.3,0.3,0.96,0.939,0.061,0.037,0.057
iris,PART,0.3,0.4,0.947,0.918,0.082,0.038,0.059
iris,PART,0.3,0.5,0.92,0.878,0.122,0.061,0.093
iris,PART,0.3,0.6,0.9,0.848,0.152,0.041,0.063
iris,PART,0.3,0.7,0.893,0.838,0.162,0.043,0.066
iris,PART,0.3,0.75,0.88,0.817,0.183,0.051,0.078
iris,PART,0.3,0.8,0.873,0.806,0.194,0.049,0.077
iris,PART,0.3,0.9,0.873,0.806,0.194,0.049,0.077
iris,PART,0.3,1,0.873,0.806,0.194,0.049,0.077
iris,PART,0.4,0.1,0.987,0.98,0.02,0.018,0.027
iris,PART,0.4,0.2,0.98,0.97,0.03,0.03,0.045
iris,PART,0.4,0.25,0.96,0.94,0.06,0.037,0.055
iris,PART,0.4,0.3,0.96,0.94,0.06,0.037,0.055
iris,PART,0.4,0.4,0.92,0.878,0.122,0.018,0.029
iris,PART,0.4,0.5,0.893,0.837,0.163,0.028,0.044
iris,PART,0.4,0.6,0.873,0.806,0.194,0.043,0.068
iris,PART,0.4,0.7,0.86,0.786,0.214,0.043,0.068
iris,PART,0.4,0.75,0.853,0.776,0.224,0.051,0.077
iris,PART,0.4,0.8,0.853,0.776,0.224,0.051,0.077
iris,PART,0.4,0.9,0.847,0.766,0.234,0.061,0.092
iris,PART,0.4,1,0.82,0.724,0.276,0.069,0.111
iris,PART,0.5,0.1,0.973,0.96,0.04,0.028,0.042
iris,PART,0.5,0.2,0.96,0.939,0.061,0.028,0.042
iris,PART,0.5,0.25,0.96,0.939,0.061,0.028,0.042
iris,PART,0.5,0.3,0.953,0.929,0.071,0.038,0.057
iris,PART,0.5,0.4,0.927,0.889,0.111,0.043,0.066
iris,PART,0.5,0.5,0.907,0.859,0.141,0.055,0.083
iris,PART,0.5,0.6,0.86,0.789,0.211,0.072,0.108
iris,PART,0.5,0.7,0.853,0.779,0.221,0.069,0.103
iris,PART,0.5,0.75,0.847,0.769,0.231,0.069,0.104
iris,PART,0.5,0.8,0.833,0.748,0.252,0.067,0.101
iris,PART,0.5,0.9,0.813,0.717,0.283,0.08,0.122
iris,PART,0.5,1,0.793,0.686,0.314,0.109,0.166
iris,PART,0.6,0.1,0.987,0.98,0.02,0.018,0.028
iris,PART,0.6,0.2,0.947,0.919,0.081,0.03,0.046
iris,PART,0.6,0.25,0.933,0.899,0.101,0.024,0.036
iris,PART,0.6,0.3,0.927,0.889,0.111,0.028,0.043
iris,PART,0.6,0.4,0.913,0.868,0.132,0.038,0.059
iris,PART,0.6,0.5,0.893,0.839,0.161,0.06,0.091
iris,PART,0.6,0.6,0.853,0.777,0.223,0.065,0.101
iris,PART,0.6,0.7,0.84,0.758,0.242,0.072,0.112
iris,PART,0.6,0.75,0.827,0.737,0.263,0.064,0.1
iris,PART,0.6,0.8,0.813,0.716,0.284,0.073,0.116
iris,PART,0.6,0.9,0.8,0.697,0.303,0.085,0.132
iris,PART,0.6,1,0.78,0.664,0.336,0.112,0.178
iris,PART,0.7,0.1,0.967,0.95,0.05,0.024,0.035
iris,PART,0.7,0.2,0.947,0.919,0.081,0.03,0.045
iris,PART,0.7,0.25,0.92,0.878,0.122,0.038,0.057
iris,PART,0.7,0.3,0.913,0.868,0.132,0.03,0.044
iris,PART,0.7,0.4,0.893,0.838,0.162,0.055,0.081
iris,PART,0.7,0.5,0.847,0.768,0.232,0.065,0.096
iris,PART,0.7,0.6,0.793,0.688,0.312,0.086,0.128
iris,PART,0.7,0.7,0.753,0.628,0.372,0.112,0.167
iris,PART,0.7,0.75,0.733,0.598,0.402,0.105,0.157
iris,PART,0.7,0.8,0.72,0.577,0.423,0.09,0.133
iris,PART,0.7,0.9,0.707,0.557,0.443,0.109,0.161
iris,PART,0.7,1,0.693,0.536,0.464,0.109,0.16
iris,PART,0.8,0.1,0.96,0.939,0.061,0.028,0.042
iris,PART,0.8,0.2,0.927,0.89,0.11,0.037,0.055
iris,PART,0.8,0.25,0.92,0.879,0.121,0.045,0.068
iris,PART,0.8,0.3,0.907,0.859,0.141,0.043,0.066
iris,PART,0.8,0.4,0.9,0.849,0.151,0.041,0.062
iris,PART,0.8,0.5,0.86,0.789,0.211,0.055,0.083
iris,PART,0.8,0.6,0.84,0.759,0.241,0.064,0.096
iris,PART,0.8,0.7,0.807,0.71,0.29,0.072,0.106
iris,PART,0.8,0.75,0.807,0.71,0.29,0.072,0.106
iris,PART,0.8,0.8,0.8,0.7,0.3,0.071,0.104
iris,PART,0.8,0.9,0.78,0.67,0.33,0.077,0.113
iris,PART,0.8,1,0.747,0.618,0.382,0.065,0.1
iris,PART,0.9,0.1,0.973,0.96,0.04,0.015,0.023
iris,PART,0.9,0.2,0.947,0.919,0.081,0.018,0.027
iris,PART,0.9,0.25,0.94,0.909,0.091,0.015,0.022
iris,PART,0.9,0.3,0.92,0.879,0.121,0.03,0.045
iris,PART,0.9,0.4,0.9,0.848,0.152,0.033,0.05
iris,PART,0.9,0.5,0.847,0.768,0.232,0.065,0.098
iris,PART,0.9,0.6,0.793,0.688,0.312,0.055,0.081
iris,PART,0.9,0.7,0.76,0.638,0.362,0.055,0.081
iris,PART,0.9,0.75,0.753,0.628,0.372,0.065,0.096
iris,PART,0.9,0.8,0.713,0.567,0.433,0.073,0.108
iris,PART,0.9,0.9,0.68,0.517,0.483,0.084,0.124
iris,PART,0.9,1,0.66,0.486,0.514,0.072,0.108
iris,PART,1,0.1,0.953,0.929,0.071,0.018,0.028
iris,PART,1,0.2,0.933,0.899,0.101,0.033,0.051
iris,PART,1,0.25,0.907,0.859,0.141,0.028,0.042
iris,PART,1,0.3,0.907,0.859,0.141,0.028,0.042
iris,PART,1,0.4,0.873,0.808,0.192,0.015,0.022
iris,PART,1,0.5,0.82,0.729,0.271,0.038,0.054
iris,PART,1,0.6,0.767,0.649,0.351,0.041,0.058
iris,PART,1,0.7,0.7,0.548,0.452,0.033,0.051
iris,PART,1,0.75,0.693,0.538,0.462,0.043,0.065
iris,PART,1,0.8,0.653,0.477,0.523,0.051,0.078
iris,PART,1,0.9,0.627,0.436,0.564,0.068,0.103
iris,PART,1,1,0.607,0.404,0.596,0.076,0.118
iris,bayesglm,0.1,0.1,1,1,0,0,0
iris,bayesglm,0.1,0.2,1,1,0,0,0
iris,bayesglm,0.1,0.25,1,1,0,0,0
iris,bayesglm,0.1,0.3,1,1,0,0,0
iris,bayesglm,0.1,0.4,1,1,0,0,0
iris,bayesglm,0.1,0.5,1,1,0,0,0
iris,bayesglm,0.1,0.6,1,1,0,0,0
iris,bayesglm,0.1,0.7,1,1,0,0,0
iris,bayesglm,0.1,0.75,1,1,0,0,0
iris,bayesglm,0.1,0.8,1,1,0,0,0
iris,bayesglm,0.1,0.9,1,1,0,0,0
iris,bayesglm,0.1,1,1,1,0,0,0
iris,bayesglm,0.2,0.1,1,1,0,0,0
iris,bayesglm,0.2,0.2,1,1,0,0,0
iris,bayesglm,0.2,0.25,1,1,0,0,0
iris,bayesglm,0.2,0.3,1,1,0,0,0
iris,bayesglm,0.2,0.4,1,1,0,0,0
iris,bayesglm,0.2,0.5,1,1,0,0,0
iris,bayesglm,0.2,0.6,1,1,0,0,0
iris,bayesglm,0.2,0.7,1,1,0,0,0
iris,bayesglm,0.2,0.75,1,1,0,0,0
iris,bayesglm,0.2,0.8,1,1,0,0,0
iris,bayesglm,0.2,0.9,1,1,0,0,0
iris,bayesglm,0.2,1,1,1,0,0,0
iris,bayesglm,0.3,0.1,1,1,0,0,0
iris,bayesglm,0.3,0.2,1,1,0,0,0
iris,bayesglm,0.3,0.25,1,1,0,0,0
iris,bayesglm,0.3,0.3,1,1,0,0,0
iris,bayesglm,0.3,0.4,1,1,0,0,0
iris,bayesglm,0.3,0.5,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,0.6,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,0.7,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,0.75,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,0.8,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,0.9,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.3,1,0.993,0.985,0.015,0.015,0.033
iris,bayesglm,0.4,0.1,0.98,0.955,0.045,0.018,0.041
iris,bayesglm,0.4,0.2,0.98,0.955,0.045,0.018,0.041
iris,bayesglm,0.4,0.25,0.98,0.955,0.045,0.018,0.041
iris,bayesglm,0.4,0.3,0.98,0.955,0.045,0.018,0.041
iris,bayesglm,0.4,0.4,0.98,0.955,0.045,0.018,0.041
iris,bayesglm,0.4,0.5,0.973,0.94,0.06,0.015,0.034
iris,bayesglm,0.4,0.6,0.96,0.908,0.092,0.028,0.065
iris,bayesglm,0.4,0.7,0.96,0.908,0.092,0.028,0.065
iris,bayesglm,0.4,0.75,0.96,0.908,0.092,0.028,0.065
iris,bayesglm,0.4,0.8,0.96,0.908,0.092,0.028,0.065
iris,bayesglm,0.4,0.9,0.953,0.892,0.108,0.038,0.089
iris,bayesglm,0.4,1,0.953,0.892,0.108,0.038,0.089
iris,bayesglm,0.5,0.1,0.987,0.97,0.03,0.018,0.041
