dataset,fold,method,noise_levels,instance_level,accuracy,kappa
wilt,Fold_1,bayesglm,0.1,0.1,0.995867768595041,0.959358468385255
wilt,Fold_1,bayesglm,0.1,0.2,0.990702479338843,0.910989415178388
wilt,Fold_1,bayesglm,0.1,0.25,0.988636363636364,0.891209285218031
wilt,Fold_1,bayesglm,0.1,0.3,0.988636363636364,0.891209285218031
wilt,Fold_1,bayesglm,0.1,0.4,0.984504132231405,0.854234429586797
wilt,Fold_1,bayesglm,0.1,0.5,0.982438016528926,0.831868895336957
wilt,Fold_1,bayesglm,0.1,0.6,0.978305785123967,0.795928201421516
wilt,Fold_1,bayesglm,0.1,0.7,0.978305785123967,0.795928201421516
wilt,Fold_1,bayesglm,0.1,0.75,0.977272727272727,0.788057324840765
wilt,Fold_1,bayesglm,0.1,0.8,0.977272727272727,0.788057324840765
wilt,Fold_1,bayesglm,0.1,0.9,0.975206611570248,0.768789808917197
wilt,Fold_1,bayesglm,0.1,1,0.96900826446281,0.72064029552101
wilt,Fold_1,bayesglm,0.2,0.1,0.987603305785124,0.884394904458599
wilt,Fold_1,bayesglm,0.2,0.2,0.980371900826446,0.82158239882038
wilt,Fold_1,bayesglm,0.2,0.25,0.974173553719008,0.772889372724202
wilt,Fold_1,bayesglm,0.2,0.3,0.96900826446281,0.733968486625138
wilt,Fold_1,bayesglm,0.2,0.4,0.959710743801653,0.667383259911894
wilt,Fold_1,bayesglm,0.2,0.5,0.950413223140496,0.61142704221583
wilt,Fold_1,bayesglm,0.2,0.6,0.932851239669422,0.499251902078758
wilt,Fold_1,bayesglm,0.2,0.7,0.927685950413223,0.471681636726547
wilt,Fold_1,bayesglm,0.2,0.75,0.924586776859504,0.460003056701818
wilt,Fold_1,bayesglm,0.2,0.8,0.921487603305785,0.4487801954085
wilt,Fold_1,bayesglm,0.2,0.9,0.914256198347107,0.416969028475226
wilt,Fold_1,bayesglm,0.2,1,0.900826446280992,0.361828370508735
wilt,Fold_1,bayesglm,0.3,0.1,0.982438016528926,0.83479902019837
wilt,Fold_1,bayesglm,0.3,0.2,0.957644628099174,0.650325991189427
wilt,Fold_1,bayesglm,0.3,0.25,0.946280991735537,0.59092386710877
wilt,Fold_1,bayesglm,0.3,0.3,0.93698347107438,0.542703138068833
wilt,Fold_1,bayesglm,0.3,0.4,0.924586776859504,0.487213723839656
wilt,Fold_1,bayesglm,0.3,0.5,0.910123966942149,0.431817568479288
wilt,Fold_1,bayesglm,0.3,0.6,0.886363636363636,0.332430534657438
wilt,Fold_1,bayesglm,0.3,0.7,0.870867768595041,0.276817518946186
wilt,Fold_1,bayesglm,0.3,0.75,0.865702479338843,0.259416195856873
wilt,Fold_1,bayesglm,0.3,0.8,0.861570247933884,0.251914736550706
wilt,Fold_1,bayesglm,0.3,0.9,0.846074380165289,0.211588498961408
wilt,Fold_1,bayesglm,0.3,1,0.825413223140496,0.176124574444512
wilt,Fold_1,bayesglm,0.4,0.1,0.978305785123967,0.812285302700107
wilt,Fold_1,bayesglm,0.4,0.2,0.961776859504132,0.693807064938618
wilt,Fold_1,bayesglm,0.4,0.25,0.945247933884298,0.602676497010625
wilt,Fold_1,bayesglm,0.4,0.3,0.939049586776859,0.574844415329184
wilt,Fold_1,bayesglm,0.4,0.4,0.916322314049587,0.464733349717375
wilt,Fold_1,bayesglm,0.4,0.5,0.889462809917355,0.374465515158836
wilt,Fold_1,bayesglm,0.4,0.6,0.859504132231405,0.283774373259053
wilt,Fold_1,bayesglm,0.4,0.7,0.840909090909091,0.245953382971835
wilt,Fold_1,bayesglm,0.4,0.75,0.831611570247934,0.219030271832743
wilt,Fold_1,bayesglm,0.4,0.8,0.820247933884298,0.203947368421052
wilt,Fold_1,bayesglm,0.4,0.9,0.794421487603306,0.161784415087115
wilt,Fold_1,bayesglm,0.4,1,0.777892561983471,0.127350183653959
wilt,Fold_1,bayesglm,0.5,0.1,0.974173553719008,0.776530122262032
wilt,Fold_1,bayesglm,0.5,0.2,0.947314049586777,0.612459572330204
wilt,Fold_1,bayesglm,0.5,0.25,0.934917355371901,0.557458419204086
wilt,Fold_1,bayesglm,0.5,0.3,0.920454545454545,0.502947531275841
wilt,Fold_1,bayesglm,0.5,0.4,0.890495867768595,0.396139359698681
wilt,Fold_1,bayesglm,0.5,0.5,0.860537190082645,0.318025258323765
wilt,Fold_1,bayesglm,0.5,0.6,0.839876033057851,0.257360074442178
wilt,Fold_1,bayesglm,0.5,0.7,0.817148760330578,0.212827345401084
wilt,Fold_1,bayesglm,0.5,0.75,0.807851239669422,0.201461822310531
wilt,Fold_1,bayesglm,0.5,0.8,0.789256198347107,0.180940372299831
wilt,Fold_1,bayesglm,0.5,0.9,0.764462809917355,0.151764850571886
wilt,Fold_1,bayesglm,0.5,1,0.738636363636364,0.120379283097479
wilt,Fold_1,bayesglm,0.6,0.1,0.962809917355372,0.708570281661872
wilt,Fold_1,bayesglm,0.6,0.2,0.935950413223141,0.567208953501789
wilt,Fold_1,bayesglm,0.6,0.25,0.921487603305785,0.512226170901183
wilt,Fold_1,bayesglm,0.6,0.3,0.902892561983471,0.441684665226782
wilt,Fold_1,bayesglm,0.6,0.4,0.878099173553719,0.372643789270179
wilt,Fold_1,bayesglm,0.6,0.5,0.84297520661157,0.287048881652905
