dataset,fold,method,noise_levels,instance_level,accuracy,kappa
wall-robot-navigation,Fold_1,bayesglm,0.1,0.1,0.998166819431714,0.995805910936155
wall-robot-navigation,Fold_1,bayesglm,0.1,0.2,0.996333638863428,0.991599323941927
wall-robot-navigation,Fold_1,bayesglm,0.1,0.25,0.995417048579285,0.989506971948702
wall-robot-navigation,Fold_1,bayesglm,0.1,0.3,0.994500458295142,0.987417732808464
wall-robot-navigation,Fold_1,bayesglm,0.1,0.4,0.993583868010999,0.985309760728183
wall-robot-navigation,Fold_1,bayesglm,0.1,0.5,0.991750687442713,0.981112549507664
wall-robot-navigation,Fold_1,bayesglm,0.1,0.6,0.989917506874427,0.976915338287145
wall-robot-navigation,Fold_1,bayesglm,0.1,0.7,0.986251145737855,0.968426901476112
wall-robot-navigation,Fold_1,bayesglm,0.1,0.75,0.983501374885426,0.962140549210731
wall-robot-navigation,Fold_1,bayesglm,0.1,0.8,0.982584784601283,0.960007408536409
wall-robot-navigation,Fold_1,bayesglm,0.1,0.9,0.98166819431714,0.957871080099009
wall-robot-navigation,Fold_1,bayesglm,0.1,1,0.980751604032997,0.955797662066557
wall-robot-navigation,Fold_1,bayesglm,0.2,0.1,0.998166819431714,0.995805910936155
wall-robot-navigation,Fold_1,bayesglm,0.2,0.2,0.995417048579285,0.989491326250494
wall-robot-navigation,Fold_1,bayesglm,0.2,0.25,0.994500458295142,0.98739898591289
wall-robot-navigation,Fold_1,bayesglm,0.2,0.3,0.994500458295142,0.98739898591289
wall-robot-navigation,Fold_1,bayesglm,0.2,0.4,0.991750687442713,0.981112549507664
wall-robot-navigation,Fold_1,bayesglm,0.2,0.5,0.989917506874427,0.976949656482465
wall-robot-navigation,Fold_1,bayesglm,0.2,0.6,0.984417965169569,0.964270509251679
wall-robot-navigation,Fold_1,bayesglm,0.2,0.7,0.980751604032997,0.95592928218455
wall-robot-navigation,Fold_1,bayesglm,0.2,0.75,0.978918423464711,0.951732070964031
wall-robot-navigation,Fold_1,bayesglm,0.2,0.8,0.977085242896425,0.947534859743512
wall-robot-navigation,Fold_1,bayesglm,0.2,0.9,0.975252062328139,0.943253161752666
wall-robot-navigation,Fold_1,bayesglm,0.2,1,0.97250229147571,0.937088664042317
wall-robot-navigation,Fold_1,bayesglm,0.3,0.1,0.997250229147571,0.993722874398035
wall-robot-navigation,Fold_1,bayesglm,0.3,0.2,0.99083409715857,0.979029554680772
wall-robot-navigation,Fold_1,bayesglm,0.3,0.25,0.987167736021998,0.970728472759887
wall-robot-navigation,Fold_1,bayesglm,0.3,0.3,0.985334555453712,0.966546826011299
wall-robot-navigation,Fold_1,bayesglm,0.3,0.4,0.982584784601283,0.96030379688658
wall-robot-navigation,Fold_1,bayesglm,0.3,0.5,0.978918423464711,0.952088731219176
wall-robot-navigation,Fold_1,bayesglm,0.3,0.6,0.973418881759853,0.939590139363309
wall-robot-navigation,Fold_1,bayesglm,0.3,0.7,0.968835930339138,0.929331301200229
wall-robot-navigation,Fold_1,bayesglm,0.3,0.75,0.967002749770852,0.925174318917889
wall-robot-navigation,Fold_1,bayesglm,0.3,0.8,0.964252978918423,0.918998566497933
wall-robot-navigation,Fold_1,bayesglm,0.3,0.9,0.959670027497709,0.908546389788531
wall-robot-navigation,Fold_1,bayesglm,0.3,1,0.955087076076994,0.89822896816407
wall-robot-navigation,Fold_1,bayesglm,0.4,0.1,0.997250229147571,0.993713542677036
wall-robot-navigation,Fold_1,bayesglm,0.4,0.2,0.988084326306141,0.972758684933822
wall-robot-navigation,Fold_1,bayesglm,0.4,0.25,0.987167736021998,0.970641376553081
wall-robot-navigation,Fold_1,bayesglm,0.4,0.3,0.987167736021998,0.970641376553081
wall-robot-navigation,Fold_1,bayesglm,0.4,0.4,0.982584784601283,0.960185770287894
wall-robot-navigation,Fold_1,bayesglm,0.4,0.5,0.973418881759853,0.939321119181001
wall-robot-navigation,Fold_1,bayesglm,0.4,0.6,0.966086159486709,0.922696867621234
wall-robot-navigation,Fold_1,bayesglm,0.4,0.7,0.960586617781852,0.910027866371829
wall-robot-navigation,Fold_1,bayesglm,0.4,0.75,0.95692025664528,0.901804129140487
wall-robot-navigation,Fold_1,bayesglm,0.4,0.8,0.954170485792851,0.89545883128531
wall-robot-navigation,Fold_1,bayesglm,0.4,0.9,0.946837763519707,0.878552098727521
wall-robot-navigation,Fold_1,bayesglm,0.4,1,0.943171402383135,0.870368950793785
wall-robot-navigation,Fold_1,bayesglm,0.5,0.1,0.995417048579285,0.989522571128393
wall-robot-navigation,Fold_1,bayesglm,0.5,0.2,0.984417965169569,0.964429621588863
wall-robot-navigation,Fold_1,bayesglm,0.5,0.25,0.978001833180568,0.949894561194693
wall-robot-navigation,Fold_1,bayesglm,0.5,0.3,0.975252062328139,0.943673094757775
wall-robot-navigation,Fold_1,bayesglm,0.5,0.4,0.969752520623281,0.931156004703948
wall-robot-navigation,Fold_1,bayesglm,0.5,0.5,0.961503208065995,0.912574457286988
wall-robot-navigation,Fold_1,bayesglm,0.5,0.6,0.951420714940422,0.889921128830525
wall-robot-navigation,Fold_1,bayesglm,0.5,0.7,0.945004582951421,0.875657234902593
wall-robot-navigation,Fold_1,bayesglm,0.5,0.75,0.942254812098992,0.869727392823094
wall-robot-navigation,Fold_1,bayesglm,0.5,0.8,0.93858845096242,0.861456116176942
wall-robot-navigation,Fold_1,bayesglm,0.5,0.9,0.934922089825848,0.852752817639019
wall-robot-navigation,Fold_1,bayesglm,0.5,1,0.930339138405133,0.842730386819973
wall-robot-navigation,Fold_1,bayesglm,0.6,0.1,0.993583868010999,0.985375083063477
wall-robot-navigation,Fold_1,bayesglm,0.6,0.2,0.977085242896425,0.947845458109051
wall-robot-navigation,Fold_1,bayesglm,0.6,0.25,0.973418881759853,0.939590139363309
wall-robot-navigation,Fold_1,bayesglm,0.6,0.3,0.967002749770852,0.925284491909434
wall-robot-navigation,Fold_1,bayesglm,0.6,0.4,0.954170485792851,0.896684823369874
wall-robot-navigation,Fold_1,bayesglm,0.6,0.5,0.941338221814849,0.868143157131419
wall-robot-navigation,Fold_1,bayesglm,0.6,0.6,0.927589367552704,0.837831786392313
wall-robot-navigation,Fold_1,bayesglm,0.6,0.7,0.915673693858845,0.811557524782217
wall-robot-navigation,Fold_1,bayesglm,0.6,0.75,0.909257561869844,0.797072069109991
wall-robot-navigation,Fold_1,bayesglm,0.6,0.8,0.9019248395967,0.780992332470963
wall-robot-navigation,Fold_1,bayesglm,0.6,0.9,0.893675527039413,0.762052847897779
wall-robot-navigation,Fold_1,bayesglm,0.6,1,0.885426214482126,0.743777865037867
wall-robot-navigation,Fold_1,bayesglm,0.7,0.1,0.989917506874427,0.97708591493091
wall-robot-navigation,Fold_1,bayesglm,0.7,0.2,0.978001833180568,0.950042547021136
wall-robot-navigation,Fold_1,bayesglm,0.7,0.25,0.974335472043996,0.941887938151782
wall-robot-navigation,Fold_1,bayesglm,0.7,0.3,0.969752520623281,0.931460325498252
wall-robot-navigation,Fold_1,bayesglm,0.7,0.4,0.958753437213566,0.906536807497616
