"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","PART",0.1,0.1,1,1
"wilt","Fold_1","PART",0.1,0.2,0.991735537190083,0.931079902458127
"wilt","Fold_1","PART",0.1,0.25,0.989669421487603,0.912526431837487
"wilt","Fold_1","PART",0.1,0.3,0.987603305785124,0.895031718204985
"wilt","Fold_1","PART",0.1,0.4,0.982438016528926,0.850143882271518
"wilt","Fold_1","PART",0.1,0.5,0.981404958677686,0.842547577307477
"wilt","Fold_1","PART",0.1,0.6,0.978305785123967,0.820443062572872
"wilt","Fold_1","PART",0.1,0.7,0.978305785123967,0.820443062572872
"wilt","Fold_1","PART",0.1,0.75,0.978305785123967,0.820443062572872
"wilt","Fold_1","PART",0.1,0.8,0.975206611570248,0.79632129894268
"wilt","Fold_1","PART",0.1,0.9,0.972107438016529,0.772556390977443
"wilt","Fold_1","PART",0.1,1,0.971074380165289,0.765864446018555
"wilt","Fold_1","PART",0.2,0.1,0.993801652892562,0.947515859102492
"wilt","Fold_1","PART",0.2,0.2,0.982438016528926,0.858882447775529
"wilt","Fold_1","PART",0.2,0.25,0.978305785123967,0.830616938306169
"wilt","Fold_1","PART",0.2,0.3,0.974173553719008,0.803908858133731
"wilt","Fold_1","PART",0.2,0.4,0.962809917355372,0.730616409764846
"wilt","Fold_1","PART",0.2,0.5,0.953512396694215,0.682071643359705
"wilt","Fold_1","PART",0.2,0.6,0.947314049586777,0.652612024318847
"wilt","Fold_1","PART",0.2,0.7,0.93801652892562,0.607731896097581
"wilt","Fold_1","PART",0.2,0.75,0.933884297520661,0.590973313438354
"wilt","Fold_1","PART",0.2,0.8,0.928719008264463,0.571054254007399
"wilt","Fold_1","PART",0.2,0.9,0.919421487603306,0.532951466640274
"wilt","Fold_1","PART",0.2,1,0.909090909090909,0.494342937873229
"wilt","Fold_1","PART",0.3,0.1,0.979338842975207,0.839817312306597
"wilt","Fold_1","PART",0.3,0.2,0.962809917355372,0.737515252858499
"wilt","Fold_1","PART",0.3,0.25,0.952479338842975,0.672977776472144
"wilt","Fold_1","PART",0.3,0.3,0.950413223140496,0.662967315141229
"wilt","Fold_1","PART",0.3,0.4,0.933884297520661,0.581580689170753
"wilt","Fold_1","PART",0.3,0.5,0.914256198347107,0.51073003190997
"wilt","Fold_1","PART",0.3,0.6,0.890495867768595,0.425686491811353
"wilt","Fold_1","PART",0.3,0.7,0.87396694214876,0.369017215032967
"wilt","Fold_1","PART",0.3,0.75,0.866735537190083,0.347627108018306
"wilt","Fold_1","PART",0.3,0.8,0.859504132231405,0.321269114568833
"wilt","Fold_1","PART",0.3,0.9,0.840909090909091,0.281795318989025
"wilt","Fold_1","PART",0.3,1,0.830578512396694,0.259420979464644
